event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1.0,Argentina,home, 23' ,Penalty, Lionel Messi , Penalty 
2,1.0,Argentina,home, 36' ,Goal, Ángel Di María , Alexis Mac Allister 
10,1.0,France,away, 80' ,Penalty, Kylian Mbappé , Penalty 
11,1.0,France,away, 81' ,Goal, Kylian Mbappé , Marcus Thuram 
19,1.0,Argentina,home, 108' ,Goal, Lionel Messi ,
24,1.0,France,away, 118' ,Penalty, Kylian Mbappé , Penalty 
36,2.0,Croatia,home, 7' ,Goal, Joško Gvardiol , Ivan Perišić 
37,2.0,Morocco,away, 9' ,Goal, Achraf Dari ,
38,2.0,Croatia,home, 42' ,Goal, Mislav Oršić , Marko Livaja 
50,3.0,France,home, 5' ,Goal, Theo Hernandez ,
59,3.0,France,home, 79' ,Goal, Randal Kolo Muani ,
62,4.0,Argentina,home, 34' ,Penalty, Lionel Messi , Penalty 
63,4.0,Argentina,home, 39' ,Goal, Julián Álvarez ,
69,4.0,Argentina,home, 69' ,Goal, Julián Álvarez , Lionel Messi 
77,5.0,France,away, 17' ,Goal, Aurélien Tchouaméni , Antoine Griezmann 
80,5.0,England,home, 54' ,Penalty, Harry Kane , Penalty 
81,5.0,France,away, 78' ,Goal, Olivier Giroud , Antoine Griezmann 
90,6.0,Morocco,home, 42' ,Goal, Youssef En-Nesyri , Yahia Attiyat Allah 
105,7.0,Argentina,away, 35' ,Goal, Nahuel Molina , Lionel Messi 
114,7.0,Argentina,away, 73' ,Penalty, Lionel Messi , Penalty 
121,7.0,Netherlands,home, 83' ,Goal, Wout Weghorst , Steven Berghuis 
125,7.0,Netherlands,home, 101' ,Goal, Wout Weghorst , Teun Koopmeiners 
155,8.0,Brazil,away, 106' ,Goal, Neymar , Lucas Paquetá 
161,8.0,Croatia,home, 117' ,Goal, Bruno Petković , Mislav Oršić 
171,9.0,Portugal,home, 17' ,Goal, Gonçalo Ramos , João Félix 
172,9.0,Portugal,home, 33' ,Goal, Pepe , Bruno Fernandes 
