player_name,total_goals
 Kylian Mbappé ,8
 Lionel Messi ,7
 Julián Álvarez ,4
 Olivier Giroud ,4
 Richarlison ,3
 Gonçalo Ramos ,3
 Álvaro Morata ,3
 Enner Valencia ,3
 Bukayo Saka ,3
 Marcus Rashford ,3
 Cody Gakpo ,3
 Salem Al-Dawsari ,2
 Niclas Füllkrug ,2
 Andrej Kramarić ,2
 Ferran Torres ,2
 Ritsu Dōan ,2
 Giorgian de Arrascaeta ,2
 Cho Gue-sung ,2
 Vincent Aboubakar ,2
 Breel Embolo ,2
 Aleksandar Mitrović ,2
 Enzo Fernández ,2
 Robert Lewandowski ,2
 Mohammed Kudus ,2
 Kai Havertz ,2
 Bruno Fernandes ,2
 Mehdi Taremi ,2
 Youssef En-Nesyri ,2
 Wout Weghorst ,2
 Rafael Leão ,2
 Neymar ,2
 Harry Kane ,2
 Marco Asensio ,1
 Marko Livaja ,1
 Keysher Fuller ,1
 Zakaria Aboukhlal ,1
 Romain Saïss ,1
 Lovro Majer ,1
 Tim Weah ,1
 Gareth Bale ,1
 Piotr Zieliński ,1
 Alphonso Davies ,1
 Eric Maxim Choupo-Moting ,1
 Davy Klaassen ,1
 Sergej Milinković-Savić ,1
 Jude Bellingham ,1
 Strahinja Pavlović ,1
 Jean-Charles Castelletto ,1
 Raheem Sterling ,1
 Andreas Christensen ,1
 Saleh Al-Shehri ,1
 Mitchell Duke ,1
 Dani Olmo ,1
 Michy Batshuayi ,1
 Gavi ,1
 Carlos Soler ,1
 Osman Bukari ,1
 João Félix ,1
 André Ayew ,1
 Mohammed Salisu ,1
 Ramin Rezaeian ,1
 Ilkay Gündoğan ,1
 Roozbeh Cheshmi ,1
 Takuma Asano ,1
 Bamba Dieng ,1
 Craig Goodwin ,1
 Adrien Rabiot ,1
 Mohammed Muntari ,1
 Famara Diédhiou ,1
 Boulaye Dia ,1
 Cristiano Ronaldo ,1
 Alexis Mac Allister ,1
 Casemiro ,1
 Manuel Akanji ,1
 Haji Wright ,1
 Daley Blind ,1
 Memphis ,1
 Jordan Henderson ,1
 Ivan Perišić ,1
 Daizen Maeda ,1
 Paik Seung-ho ,1
 Lucas Paquetá ,1
 Vinícius Júnior ,1
 Raphaël Guerreiro ,1
 Kalidou Koulibaly ,1
 Pepe ,1
 Bruno Petković ,1
 Nahuel Molina ,1
 Aurélien Tchouaméni ,1
 Randal Kolo Muani ,1
 Theo Hernandez ,1
 Mislav Oršić ,1
 Achraf Dari ,1
 Joško Gvardiol ,1
 Denzel Dumfries ,1
 Xherdan Shaqiri ,1
 Dušan Vlahović ,1
 Remo Freuler ,1
 Moisés Caicedo ,1
 Ismaïla Sarr ,1
 Frenkie de Jong ,1
 Phil Foden ,1
 Christian Pulisic ,1
 Mathew Leckie ,1
 Wahbi Khazri ,1
 Ángel Di María ,1
 Luis Chávez ,1
 Henry Martín ,1
 Nayef Aguerd ,1
 Hakim Ziyech ,1
 Juan Pablo Vargas ,1
 Yeltsin Tejeda ,1
 Serge Gnabry ,1
 Ao Tanaka ,1
 Hwang Hee-chan ,1
 Kim Young-gwon ,1
 Ricardo Horta ,1
 Jack Grealish ,1
