Image,real_plate,predicted_plate,CER,WER
Cars299.jpg,SDN7484U,7484USDN,75.0,100.0
Cars393.jpg,M771276,771275MA,57.14,100.0
Cars418.jpg,0X65AWD,AWD0X855,100.0,100.0
Cars73.jpg,TN99F2378,FTN592878,44.44,100.0
Cars14.jpg,ALR486,ALR4B6,16.67,100.0
Cars104.jpg,ML60LXB,LXBNLEO,85.71,100.0
Cars105.jpg,SBA1234A,SBA23AA,25.0,100.0
Cars123.jpg,HR26BC5514,HR26SSABC,60.0,100.0
Cars167.jpg,15-LK-10898,15LK10898,18.18,100.0
Cars17.jpg,YSX213,218YSX,100.0,100.0
Cars197.jpg,LR33TEE,TEELR33,85.71,100.0
Cars198.jpg,MH01AV8866,MHO1AV8866,10.0,100.0
Cars199.jpg,MH01AE8017,MHO14E807IND,60.0,100.0
Cars287.jpg,DL7CN5617,DLZCN5617,11.11,100.0
Cars293.jpg,GBI8TCE,TCEGBIB,100.0,100.0
Cars301.jpg,G526JHD,G526JAHD,14.29,100.0
Cars302.jpg,JPK6546,JPK85A8,42.86,100.0
Cars305.jpg,SGQ51JU,JUSGO5T,85.71,100.0
Cars432.jpg,DL49AK49,DLA9AK49,12.5,100.0
Cars52.jpg,MH15BD8877,MH15BD8871,10.0,100.0
