Image,real_plate,predicted_plate,CER,WER
Cars299.jpg,SDN7484U,SDN7484U,0.0,0.0
Cars393.jpg,M771276,M771276,0.0,0.0
Cars418.jpg,OX65AWD,OX65AWD,0.0,0.0
Cars73.jpg,TN99F2378,TN9SF2378,11.11,100.0
Cars14.jpg,ALR486,ALR486,0.0,0.0
Cars104.jpg,ML60LXB,GISOUS,100.0,100.0
Cars105.jpg,SBA1234A,SBAIZ34A5SBAIZ34A,137.5,100.0
Cars123.jpg,HR26BC5514,HR26BCS514,10.0,100.0
Cars167.jpg,15-LK-10898,B15LK10898,27.27,100.0
Cars17.jpg,YSX213,YSK2ID,50.0,100.0
Cars197.jpg,LR33TEE,PLR33TEE,14.29,100.0
Cars198.jpg,MH01AV8866,EETATINAAIRANNEEMHO1AV8866,170.0,100.0
Cars199.jpg,MH01AE8017,MHO1RES017,30.0,100.0
Cars287.jpg,DL7CN5617,PDL7CN5617,11.11,100.0
Cars293.jpg,GBI8TCE,IGBIGTCEB,42.86,100.0
Cars301.jpg,G526JHD,G526JHD,0.0,0.0
Cars302.jpg,JPK6546,GVEX0546F,85.71,100.0
Cars305.jpg,SGQ51JU,SCOSTJU,57.14,100.0
Cars432.jpg,DL49AK49,AHDL49AKAG,50.0,100.0
Cars52.jpg,MH15BD8877,MH15808677,30.0,100.0
