listing.garden;listing.suites;listing.bathtub;listing.pricingInfo.yearlyIptu;listing.pricingInfo.monthlyCondoFee;listing.address.neighborhood;listing.totalAreas;listing.pricingInfo.rentalPrice;listing.hottub;listing.sportcourt;listing.soundproofing;listing.furnished;listing.unitsOnTheFloor;listing.unitFloor;listing.bedrooms;listing.address.zone;listing.parkingSpaces;listing.bathrooms;listing.tenniscourt;listing.pool;listing.partyhall;listing.guestpark;listing.barbgrill;listing.playground;listing.usableAreas;listing.backyard;listing.fireplace;listing.gym;listing.floors;imvl_type;listing.mountainview;listing.sauna;listing.imvl_month;listing.imvl_year;listing.imvl_season
False;1.0;False;142.0;550.0;Leme;50.0;2.65;False;False;False;True;0.0;5.0;1;Zona Sul;0.0;2;False;False;False;False;False;False;50.0;False;False;False;12.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;109.0;850.0;Copacabana;50.0;2.3;False;False;False;True;0.0;0.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;50.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;230.0;993.0;Ipanema;52.0;4.7;False;False;False;False;0.0;0.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;52.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;143.0;1027.0;Botafogo;56.0;2.7;False;False;False;False;0.0;11.0;1;Zona Sul;1.0;1;False;False;False;False;False;False;56.0;False;False;False;1.0;apartamentos;False;False;4;2023;Outono
False;0.0;False;140.0;1086.0;Copacabana;47.0;1.7;False;False;False;False;0.0;5.0;1;Zona Sul;1.0;1;False;False;False;False;False;False;47.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;139.0;557.0;Copacabana;42.0;2.0;False;False;False;False;0.0;9.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;42.0;False;False;False;1.0;apartamentos;False;False;5;2023;Outono
False;1.0;False;67.0;862.0;Jacarepaguá;42.0;1.4;False;True;False;False;0.0;0.0;1;Zona Oeste;1.0;1;False;True;True;False;True;True;42.0;False;False;True;1.0;apartamentos;False;True;5;2023;Outono
False;0.0;False;0.0;298.0;Piedade;40.0;1.4;False;False;False;False;0.0;0.0;1;Zona Norte;1.0;1;False;True;True;False;False;False;40.0;False;False;True;1.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;0.0;585.0;Botafogo;40.0;2.0;False;False;False;False;5.0;0.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;40.0;False;False;False;12.0;apartamentos;False;False;6;2022;Outono
False;1.0;False;141.0;510.0;Flamengo;59.0;2.8;False;False;False;False;0.0;10.0;1;Zona Sul;0.0;1;False;False;False;False;False;False;59.0;False;False;False;10.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;130.0;670.0;Centro;45.0;2.1;False;True;False;False;10.0;10.0;1;Zona Central;1.0;1;False;True;True;False;False;True;45.0;False;False;True;11.0;apartamentos;False;True;5;2023;Outono
False;0.0;False;150.0;495.0;Botafogo;50.0;2.7;False;False;False;False;4.0;6.0;1;Zona Sul;1.0;2;False;False;False;False;False;False;50.0;False;False;False;12.0;apartamentos;False;False;5;2023;Outono
False;0.0;False;206.0;928.0;Botafogo;60.0;2.2;False;False;False;False;0.0;4.0;1;Zona Sul;1.0;2;False;False;False;False;False;False;60.0;False;False;False;10.0;apartamentos;False;False;5;2023;Outono
