type;account.name;listing.usableAreas;listing.totalAreas;listing.title;listing.description;listing.createdAt;listing.updatedAt;listing.floors;listing.parkingSpaces;listing.address.zipCode;listing.address.street;listing.address.neighborhood;listing.address.streetNumber;listing.suites;listing.bathrooms;listing.bedrooms;listing.pricingInfo.salePrice;listing.pricingInfo.yearlyIptu;listing.pricingInfo.monthlyCondoFee;listing.publicationType;listing.unitTypes;listing.unitSubTypes;listing.usageTypes;listing.amenities;listing.address.point.lat;listing.pricingInfo.businessType;listing.address.zone;listing.acceptExchange;listing.subtitle;account.licenseNumber;listing.pricingInfo.price;listing.unitFloor;listing.address.point.lon;listing.preview;listing.listingType;listing.address.point.source;listing.propertyType;listing.unitsOnTheFloor;listing.isInactive;listing.externalId;listing.pricingInfo.isRent;listing.address.state;listing.address.precision;listing.pricingInfo.isSale;listing.legacyId;listing.pricingInfo.businessLabel;listing.address.country;listing.address.level;listing.advertiserId;listing.link;listing.portal;listing.id;listing.businessTypeContext;listing.displayAddressType;listing.address.city;listing.address.confidence;listing.pricingInfo.period;listing.pricingInfo.rentalTotalPrice;listing.pricingInfo.rentalPrice;imvl_type;listing.pool;listing.sauna;listing.backyard;listing.garden;listing.barbgrill;listing.partyhall;listing.tenniscourt;listing.sportcourt;listing.bathtub;listing.soundproofing;listing.fireplace;listing.gym;listing.hottub;listing.furnished;listing.guestpark;listing.playground;listing.mountainview
superPremium;Hansen Imóveis Ltda;300;900;Casa para aluguel frente a praia em Guarajuba (Monte Gordo) - Camaçari - BA;Sua ampla e super ventilada cozinha americana com uma bela ilha, bancadas da cozinha em U e detalhes em separado, l pias em inox , toda projetada com armários embutidos, despensa com estantes em madeira varanda interligada com o jardim tendo acesso direto para a pista de pedestre, ciclismo e a espetacular praia.<br>Espaço da piscina totalmente reservado e exclusivo com a piscina em dois níveis que permite tomar banho com a água quentinha dia e noite, deck com piso porcelanato imitando madeira, churrasqueira, banheiro e um belo chuveirão<br>No pavimento superior encontramos 3 amplas, confortáveis suítes todas com vista mar.<br>Na suíte master ainda temos um espaçoso closet já com prateleiras e gavetas, no banheiro tem banheira de hidromassagem onde poderá desfrutar de um belo banho ouvindo o som das ondas do mar e em noite de lua cheia apreciar tomando um delicioso vinho.<br>Nas duas outra suítes tem amplos espaços com armários embutidos e varanda com vista total mar.<br><br>Veja o vídeo de Hansen Imóveis no YouTube.<br>Mínimo de Diárias:<br><br> Acomoda 10 pessoas confortavelmente<br> Período mínimo de 04 diárias<br> Natal <br> Réveillon <br> Carnaval<br> Observações: Consultar valores para Locação Réveillon, Carnaval e Feriados<br><br>LOCAÇÃO:<br><br> Baixa Temporada (março a agosto) R$: 3.000,00 a diária<br> Média Temporada (setembro a novembro) R$: 4.500,00 a diária<br> Alta Temporada (dezembro) R$: 5.500,00 a diária<br> Verão ( janeiro e fevereiro) 6.500,00 a diária<br> Observações: Consultar valores para Locação Réveillon, Carnaval e Feriados.;2022-02-22T19:17:45.103Z;2023-01-12T08:50:05.990Z;;2;42840492;Rua Arraia;Guarajuba Monte Gordo;;3;5;3;;;700;SUPER_PREMIUM;HOME;;RESIDENTIAL;DISABLED_ACCESS|BICYCLES_PLACE|PARKING|BARBECUE_GRILL|GOURMET_SPACE|GARDEN|TENNIS_COURT|SPORTS_COURT|PARTY_HALL|GATED_COMMUNITY|CONCIERGE_24H|PETS_ALLOWED|AIR_CONDITIONING|CLOSET|AMERICAN_KITCHEN|FURNISHED|GOURMET_BALCONY;;RENTAL;Bairros;False;Casa para alugar em;;3.000;0;;False;USED;;UNIT;0;False;CO562A;True;Bahia;APPROXIMATE;False;;Alugar;BR;CITY;04c372ee-f00e-7e39-3d53-90cfaa1a8ab2;/imovel/aluguel-casa-3-quartos-mobiliado-guarajuba-monte-gordo-camacari-ba-300m2-id-2552533354/;GRUPOZAP;2552533354;RENTAL;STREET;Camaçari;VALID_STREET;dia;;3.000;casas;False;False;False;True;True;True;True;True;False;False;False;False;False;True;False;False;False
superPremium;Adriana Silva dos Santos;183;183;Casa com 3 Dormitórios para Alugar, 183 m² por 3.161/mês - Nazaré - Salvador/BA;CASA DUPLEX<br><br>PRIMEIRO PAVIMENTO<br><br>03 Dormitórios<br>01 Suíte<br>183m²<br>Sala Estar | Sala Jantar<br>Piso de Porcelanato<br>Banheiro Social<br>Móveis Planejados | Cozinha | Banheiros<br>Cozinha<br>Área de Serviço<br>Dependência Completa<br><br><br>SEGUNDO PAVIMENTO<br><br>Área Gourmet<br>Quiosque Com Churrasqueira<br>Espaço Para Canil<br>Banheiro<br>Área De Serviço<br><br>DIFERENCIAIS<br><br>Posição Sol Da Tarde Parte Frente | Nascente<br>Ventilação Natural<br>Segurança e monitoramento 24h<br>Próximo ao Campo Pólvora, Estação Do Metrô, Colégios, Restaurantes, Supermercados.<br><br>Valor | Aluguel<br>3.000,00 (Incluso IPTU)<br><br>IPTU<br>161,36 (mensal) -;2023-04-26T00:14:08.546Z;2023-05-05T10:02:17.022Z;;0;40050330;;Nazaré;;1;3;3;;161;;SUPER_PREMIUM;HOME;;RESIDENTIAL;KITCHEN|INTERCOM|SERVICE_AREA;;RENTAL;Bairros;False;Casa para alugar em;;3.000;0;;False;USED;;UNIT;0;False;CA0218;True;Bahia;ROOFTOP;False;;Alugar;BR;STREET;01a3699f-cd61-1e5b-591e-a5b91c00fc7e;/imovel/aluguel-casa-3-quartos-com-cozinha-nazare-salvador-ba-183m2-id-2628408803/;GRUPOZAP;2628408803;RENTAL;NEIGHBORHOOD;Salvador;VALID_STREET;mês;;3.000;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
superPremium;ISLV IMÓVEIS;300;1000;Casa Ampla em Pituba - Salvador;Casa ampla , situado em uma rua residencial. px ao hospital da bahia.<br><br> 3/4, 2 suítes ,dependência, varanda , sala de estar, gabinete, sanitário social , lavabo, cozinha, área construída 243. Terreno 1000m2 <br>Garagem: até 7 carros.<br> 3 ambientes.<br> 3 quartos <br>2 suítes <br> Varanda ampla<br> Lavabo<br> Sanitário social<br> Escritório <br>2 Depósitos<br><br>Area construída 300m2 Terreno 1000m2 <br><br>Podendo ser residencial ou Comercial<br><br> ALUGUEL: 7.500<br> VENDA: 1.300.000<br> Aceita proposta.<br><br>Endereço: Rua Antenor Tupinambá 332 , Pituba <br>Atrás da Mag. Neto<br>Px. hospital da Bahia.<br><br> Visitas (whatsapp) <br> Instagram @islvimoveis <br>Site islvimoveis. com . br<br><br> Busca :<br><br> 1/4 2/4 3/4 4/4 02 suítes 03 suítes 04 suítes 05 suítes 06 suítes loft cobertura duplex triplex casa pituba mansão prédio edícula hospital da Bahia penthouse village studio loja sala comercial ponto comercial mercadinho supermercado galpão terreno lote loteria açougue shopping investimento delicatessen padaria amaralina amazonas barra brotas imbui citta imbui costa do imbui madri metro marista salesiano don bosco barris barra avenida barbalho caminho das arvores canela corredor da vitoria centro candeal cidade jardim colina a comercio costa ceo salvador trade center magalhaes neto mandarin salvador shopping business;2023-03-04T14:04:38.655Z;2023-04-29T21:40:00.231Z;;7;41810680;Rua Anthenor Tupinambá;Pituba;;2;3;3;1.300.000;260;;SUPER_PREMIUM;HOME;;RESIDENTIAL;;-12.992829;RENTAL_SALE;Bairros;False;Casa para alugar e comprar em;14268-J-BA;7.500;1;-38.451315;False;USED;GOOGLE;UNIT;0;False;741;True;Bahia;GEOMETRIC_CENTER;True;;Alugar/Comprar;BR;STREET;42074fd8-9c4d-fb59-a874-b1dcb90c6890;/imovel/venda-casa-3-quartos-pituba-salvador-ba-300m2-id-2616700504/;GRUPOZAP;2616700504;RENTAL;ALL;Salvador;VALID_STREET;mês;;7.500;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;Paulo Miranda;250;;ALUGUEL DE CASA NA GLEBA A;Casa na gleba A para locação<br>Com 3/4 com 1 suíte alto padrão, localização privilegiada 180m com móveis planejados na cozinha,<br>toda rebaixada no gesso sala com parede marmorizada, lustres nos cômodos<br>Copa, sala, cozinha e área de serviço.<br>R$1.800,00<br><br>Contrato mínimo de 1 ano;2023-05-03T17:57:41.709Z;2023-05-03T18:05:11.399Z;;2;42803860;Avenida Concêntrica;Gleba A;1;1;2;3;;;;STANDARD;HOME;;RESIDENTIAL;;-12.69282;RENTAL;Bairros;False;Casa para alugar em;;1.800;0;-38.329384;False;USED;GOOGLE;UNIT;0;False;JC C232C;True;Bahia;ROOFTOP;False;;Alugar;BR;STREET;b06058a8-c7fb-d8c6-e941-0769665397ff;/imovel/aluguel-casa-3-quartos-gleba-a-camacari-ba-250m2-id-2629969856/;GRUPOZAP;2629969856;RENTAL;ALL;Camaçari;VALID_STREET;mês;;1.800;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;Paulo Miranda;200;;CASA COM SUITE PARA ALUGAR NA GLEBA A;Casa na gleba A<br>Com 3/4 com 1 suíte alto padrão, localização privilegiada 180m com móveis planejados na cozinha, toda rebaixada no gesso sala com parede marmorizada, lustres nos comodos<br>Copa, sala,cozinha e área de serviço<br>1.800,00<br><br>Contrato mínimo de 1 ano;2023-05-03T15:50:44.599Z;2023-05-03T15:51:22.221Z;;2;42803818;Avenida Rio Bandeira I;Gleba A;1;1;2;3;;;;STANDARD;HOME;;RESIDENTIAL;ELECTRONIC_GATE|AIR_CONDITIONING;-12.685308;RENTAL;Bairros;False;Casa para alugar em;;1.800;0;-38.332531;False;USED;GOOGLE;UNIT;0;False;JC 9E32C;True;Bahia;GEOMETRIC_CENTER;False;;Alugar;BR;STREET;b06058a8-c7fb-d8c6-e941-0769665397ff;/imovel/aluguel-casa-3-quartos-gleba-a-camacari-ba-200m2-id-2629953061/;GRUPOZAP;2629953061;RENTAL;ALL;Camaçari;VALID_STREET;mês;;1.800;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;Imóveis Feira de Santana;200;300;FEIRA DE SANTANA - Comercial - QUEIMADINHA;Código: CA01686<br>Yes imob - Casa e ponto comercial para Locação na Queimadinha, Feira de Santana, 3 dormitórios, 2 salas, 2 banheiros, 6 vagas, 200,00 m².<br><br>Casa e ponto comercial para locação, localizado na rua lateral da UPA, casa com 3 quartos, dois banheiros, duas salas, cozinha com copa grande, quintal e deposito anexo no fundo. Ponto comercial mede uns 30m² com possibilidade para ampliação e quintal é grande cabendo uns 5 carros. O terreno me uns 300m ao todo. <br><br>Informações entre em contato com Yes Imob pelo chat, WhatsApp ou telefones.<br> / / <br><br>Anunciado, publicado e ou atualizado em Fevereiro de 2023, sujeito a disponibilidade e/ou alteração de preços sem prévio aviso pelo proprietário<br>Fale conosco: -;2023-05-03T11:01:40.135Z;2023-05-03T11:01:41.216Z;;6;44050698;;Queimadinha;;;2;3;;;;STANDARD;HOME;;RESIDENTIAL;DINNER_ROOM;;RENTAL;Bairros;False;Casa para alugar em;;1.200;0;;False;USED;;UNIT;0;False;CA01686;True;Bahia;RANGE_INTERPOLATED;False;;Alugar;BR;STREET;2d87bfaf-a0c3-a938-1ffd-2c9074f1295e;/imovel/aluguel-casa-3-quartos-com-sala-de-jantar-queimadinha-feira-de-santana-ba-200m2-id-2629897169/;GRUPOZAP;2629897169;RENTAL;NEIGHBORHOOD;Feira de Santana;VALID_STREET;mês;;1.200;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;Paulo Miranda;180;180;CASA LOCAÇÃO GLEBA A - CAMAÇARI/BA;JESSICA<br><br>Casa na gleba A<br>Com 3/4 com 1 suíte alto padrão, localização privilegiada 180m com móveis planejados na cozinha,<br>toda rebaixada no gesso sala com parede marmorizada, lustres nos comodos<br>Copa, sala, cozinha e área de serviço.<br>R$1.800,00<br><br>Contrato mínimo de 1 ano;2023-04-26T19:24:53.702Z;2023-04-26T19:24:58.221Z;;2;42803818;Avenida Rio Bandeira I;Gleba A;1;1;2;3;;;;STANDARD;HOME;;RESIDENTIAL;ELECTRONIC_GATE|NEAR_SCHOOL|NEAR_HOSPITAL|NEAR_ACCESS_ROADS|NEAR_PUBLIC_TRANSPORT|PETS_ALLOWED|AMERICAN_KITCHEN;-12.685308;RENTAL;Bairros;False;Casa para alugar em;;1.800;0;-38.332531;False;USED;GOOGLE;UNIT;0;False;IMOBCC1V9NSTK;True;Bahia;GEOMETRIC_CENTER;False;;Alugar;BR;STREET;b06058a8-c7fb-d8c6-e941-0769665397ff;/imovel/aluguel-casa-3-quartos-gleba-a-camacari-ba-180m2-id-2628619159/;GRUPOZAP;2628619159;RENTAL;ALL;Camaçari;VALID_STREET;mês;;1.800;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;GP ASSESSORIA IMOBILIARIA EIRELI - ME;350;350;Casa para alugar no bairro Brasília - Feira de Santana/BA;Excelente oportunidade de alugar seu imóvel, tanto para fins comercias quanto para residencial. com ótima localização próximo do centro da cidade. Agende sua visita.<br><i>As informações refletem a opinião do corretor associado e estão sujeitas a alterações. Consulte o corretor responsável.</i><br> <br><br><br>Chave do anúncio: 0KNWSRIig6tx2Y8c;2023-05-02T20:17:55.021Z;2023-05-05T08:41:27.652Z;;3;44088264;Avenida Adenil Falcão;Brasília;;;2;3;;;;STANDARD;HOME;;RESIDENTIAL|COMMERCIAL;NEAR_SCHOOL|NEAR_HOSPITAL|NEAR_PUBLIC_TRANSPORT|ESSENTIAL_PUBLIC_SERVICES|KITCHEN|BACKYARD;;RENTAL;Bairros;False;Casa para alugar em;;2.000;0;;False;USED;;UNIT;0;False;740;True;Bahia;ROOFTOP;False;;Alugar;BR;STREET;3aa6bdee-6a81-ffe8-d530-acbcdbbe8037;/imovel/aluguel-casa-3-quartos-brasilia-feira-de-santana-ba-350m2-id-2629730093/;GRUPOZAP;2629730093;RENTAL;STREET;Feira de Santana;VALID_STREET;mês;;2.000;casas;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;Cotistas do Brasil Web;225;90;Casa 3/4 com piscina em barra do Jacuípe - temporada;Descrição do imóvel: <br><br>Jorge Novaes <br>Corretor de Imóveis - CRECI 2 2 3 0 0<br>7 1 9 9 1 4 5 - 6 3 7 1 (Tim e WhatsApp) <br><br>casa térrea com cerca de 90m2 de area construída, 3/4 sendo 1 suite, sala ampla, cozinha toda equipada, área de serviço, piscina e quiosque gourmet equipado.<br><br>Apenas locação de temporada. <br><br>Valor da diária: R$700,00 <br>Lotação máxima de 10 pessoas<br><br>Localização: loteamento sol nascente, barra de jacuipe (lado oposto da praia) cerca de 400 metros das estrada do coco, rua asfalta e com comércio perto.;2023-04-20T02:00:00.237Z;2023-04-20T02:00:05.310Z;;3;42837394;Rua L;Barra do Jacuípe;36;1;2;3;;;;STANDARD;HOME;;RESIDENTIAL;;;RENTAL;Bairros;False;Casa para alugar em;3356-F-PA;700;0;;False;USED;;UNIT;0;False;A4 jorge novaes tel:71991456371;True;Bahia;Precision_NONE;False;;Alugar;BR;CITY;65e5a12c-4aa5-2e16-00f7-8336cb08f800;/imovel/aluguel-casa-3-quartos-barra-do-jacuipe-camacari-ba-225m2-id-2627331919/;GRUPOZAP;2627331919;RENTAL;ALL;Camaçari;VALID_STREET;dia;;700;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;Paulo Miranda;200;;CASA A VENDA NO ALTO DA CRUZ;Casa na gleba A<br>Com 3/4 com 1 suíte alto padrão, localização privilegiada 180m com móveis planejados na cozinha, toda rebaixada no gesso sala com parede marmorizada, lustres nos comodos<br>Copa, sala,cozinha e área de serviço<br>1.800,00<br><br>Contrato mínimo de 1 ano;2023-04-26T16:17:13.728Z;2023-04-26T16:34:35.711Z;;2;42803860;Avenida Concêntrica;Gleba A;1;3;2;3;;1;;STANDARD;HOME;SINGLE_STOREY_HOUSE;RESIDENTIAL;AIR_CONDITIONING;-12.69282;RENTAL;Bairros;False;Térrea para alugar em;;1.800;0;-38.329384;False;USED;GOOGLE;UNIT;0;False;JC 2R9STK;True;Bahia;ROOFTOP;False;;Alugar;BR;STREET;b06058a8-c7fb-d8c6-e941-0769665397ff;/imovel/aluguel-casa-3-quartos-com-ar-condicionado-gleba-a-camacari-ba-200m2-id-2628572306/;GRUPOZAP;2628572306;RENTAL;ALL;Camaçari;VALID_STREET;mês;;1.800;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
