type;account.name;listing.usableAreas;listing.totalAreas;listing.title;listing.description;listing.createdAt;listing.updatedAt;listing.floors;listing.parkingSpaces;listing.address.zipCode;listing.address.street;listing.address.neighborhood;listing.address.streetNumber;listing.suites;listing.bathrooms;listing.bedrooms;listing.pricingInfo.salePrice;listing.pricingInfo.yearlyIptu;listing.pricingInfo.monthlyCondoFee;listing.publicationType;listing.unitTypes;listing.unitSubTypes;listing.usageTypes;listing.amenities;listing.address.point.lat;listing.pricingInfo.businessType;listing.address.zone;listing.acceptExchange;listing.subtitle;account.licenseNumber;listing.pricingInfo.price;listing.unitFloor;listing.address.point.lon;listing.preview;listing.listingType;listing.address.point.source;listing.propertyType;listing.unitsOnTheFloor;listing.isInactive;listing.externalId;listing.pricingInfo.isRent;listing.address.state;listing.address.precision;listing.pricingInfo.isSale;listing.legacyId;listing.pricingInfo.businessLabel;listing.address.country;listing.address.level;listing.advertiserId;listing.link;listing.portal;listing.id;listing.businessTypeContext;listing.displayAddressType;listing.address.city;listing.address.confidence;listing.pricingInfo.period;listing.pricingInfo.rentalTotalPrice;listing.pricingInfo.rentalPrice;imvl_type;listing.pool;listing.sauna;listing.backyard;listing.garden;listing.barbgrill;listing.partyhall;listing.tenniscourt;listing.sportcourt;listing.bathtub;listing.soundproofing;listing.fireplace;listing.gym;listing.hottub;listing.furnished;listing.guestpark;listing.playground;listing.mountainview
superPremium;RE/MAX PAX;122;122;Casa para locação de 122m² com 3 suítes em Messejana: Conforto e comodidade em um dos bairros mais p;Esta casa localizada no bairro de Messejana em Fortaleza oferece todo o conforto e comodidade que você e sua família precisam. Com uma área construída de 122m², a casa é composta por 3 suítes, uma ampla sala de estar, cozinha, área de serviço e varanda.<br><br>As suítes são espaçosas e arejadas, com janelas que permitem a entrada de luz natural. Cada suíte é equipada com armários embutidos e banheiros completos.<br><br>A sala de estar é ideal para momentos de convivência em família, com espaço suficiente para acomodar confortavelmente um sofá e uma mesa de jantar. A cozinha é prática e funcional, equipada com armários planejados e uma bancada de granito. Já a área de serviço conta com tanque e espaço para máquina de lavar.<br><br>A suíte master também conta com uma varanda, ideal para relaxar e desfrutar do clima agradável de Fortaleza. Além disso, há duas vagas de garagem cobertas.<br><br>A casa está próxima a uma ampla rede de serviços e comércios, incluindo supermercados, farmácias, escolas e shoppings. Além disso, está a poucos minutos de distância do Aeroporto Internacional de Fortaleza.<br><br>Não perca a oportunidade de morar em uma casa confortável e aconchegante em um dos bairros mais populares de Fortaleza. Venha conhecer esta incrível opção de locação em Messejana!<br><br>Casa Duplex - 122m² de área construída.<br><br>Excelente casa duplex no bairro Messejana em Fortaleza, próximo ao Corpo de Bombeiros e ao 6º Distrito Policial da Rua Padre Pedro de Alencar.<br><br>Fica à 5 minutos do Centro de Messejana onde você encontra todos os serviços de que necessita como : bancos, farmácias, postos de gasolina, padarias, lojas de vários tipos de comércio, supermercados além de fácil acesso às principais rotas da cidade.<br><br>* Pavimento inferior com:<br>Sala de estar/jantar, banheiro social, cozinha, quintal, área de serviço e duas vagas de garagem.<br><br>* Pavimento superior com:<br>3 suítes sendo uma master com varanda, todas com ar condicionado split.<br><br>Portão automático.<br><br>Entre em contato para mais informações.<br><br>(85)9.<br>Gustavo Martins - Creci - 20020 -;2023-04-21T01:17:34.806Z;2023-05-04T21:13:56.802Z;;2;60871120;Rua Miracema;Messejana;305;;4;3;;;;SUPER_PREMIUM;HOME;;RESIDENTIAL;BALCONY|BARBECUE_GRILL|GARAGE|GARDEN|PETS_ALLOWED;-3.837174;RENTAL;Bairros;False;Casa para alugar em;01135-J-CE;2.500;0;-38.497189;False;USED;GOOGLE;UNIT;0;False;721621018-6;True;Ceará;ROOFTOP;False;;Alugar;BR;STREET;5d22ee2c-6c4e-4595-61cc-f65709fb0a51;/imovel/aluguel-casa-3-quartos-com-churrasqueira-messejana-fortaleza-ce-122m2-id-2627551781/;GRUPOZAP;2627551781;RENTAL;ALL;Fortaleza;VALID_STREET;mês;;2.500;casas;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False
superPremium;Imobiliária Luiz Rêgo;98;98;CA964 - Aluga casa na Castelão com 3 quartos sendo 2 suítes, e 1 vaga.;CA964 - Imobiliária Luiz Rêgo aluga casa no Castelão, com:<br><br>varanda / sala dois ambientes / 3 quartos ( 2 suítes- sendo 1 reversível) /cozinha / banheiro social /área de serviço / quintal / 1 vaga / cerca elétrica / portão automático.<br><br>Seguro incêndio: 239,19 (anual)<br><br>Taxa do lixo: 268,17 (anual)<br><br>Alugamos com fiador ou caução. -;2023-04-08T22:06:41.534Z;2023-05-05T02:52:29.140Z;;1;60867530;Rua Maestro Néo Miranda;Castelão;237;2;2;3;;469;;SUPER_PREMIUM;HOME;;RESIDENTIAL;KITCHEN|BACKYARD|SERVICE_AREA;-3.801987;RENTAL;Bairros;False;Casa para alugar em;00458-J-CE;1.500;0;-38.518259;False;USED;GOOGLE;UNIT;0;False;CA0036;True;Ceará;ROOFTOP;False;;Alugar;BR;STREET;e611d648-5cc3-05d3-1e6e-79b428e8c31e;/imovel/aluguel-casa-3-quartos-com-cozinha-castelao-fortaleza-ce-98m2-id-2624757529/;GRUPOZAP;2624757529;RENTAL;ALL;Fortaleza;VALID_STREET;mês;;1.500;casas;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False
superPremium;MEGA VENDA DE IMOVEIS,SERVIÇOS E CONDOMINIO LTDA;210;228;Casa com 3 dormitórios para alugar, 209 m² por 2.400,00/ano - São Bento - Fortaleza/CE;Localizado a 3 quadras da Av. Edson Magalhães, próximo ao Estádio Moreirão, Colégio Joaquim Barroso Neto, Nova Fitness Academia, Farmácia Droga Life, com fácil acesso a Av. Dr. Mendel Steinbruch, Banco Santander e outras conveniências.<br>Casa duplex dispõe de 130 m², sala ampla, cozinha, 3 suíte, closet, varanda, banheiro social, área de serviço, deck com churrasqueira e 3 vagas de garagem.<br>Venha conhecer! -;2022-06-24T08:34:38.447Z;2023-05-03T03:38:46.023Z;;3;60875600;;São Bento;;3;4;3;;;;SUPER_PREMIUM;HOME;;RESIDENTIAL;BARBECUE_GRILL|KITCHEN|BACKYARD|SERVICE_AREA;;RENTAL;Bairros;False;Casa para alugar em;;2.400;0;;False;USED;;UNIT;0;False;CA0927;True;Ceará;RANGE_INTERPOLATED;False;;Alugar;BR;STREET;d799ba7e-10ff-931b-817a-f11141492529;/imovel/aluguel-casa-3-quartos-com-churrasqueira-sao-bento-fortaleza-ce-210m2-id-2568649910/;GRUPOZAP;2568649910;RENTAL;NEIGHBORHOOD;Fortaleza;VALID_STREET;mês;;2.400;casas;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False
;Amauri Gomes Negócios Imobiliários;160;;Casa - Rua Azevedo Bolão, 916 - Parque Araxá;Casa com sala, 03 quartos(02 suítes), 02 jardins de inverno, copa/cozinha, área de serviço, despensa, lavanderia, quintal, quarto de despejo e 01 vaga de garagem.<br><br>IPTU……1.105,47<br>TMRSU…..436,90<br>SCI…….(+ou-)215,00 (ano)<br><br>Ponto de referência: Próximo ao Frangolândia Supermercado Parque Araxá.;2023-04-19T15:30:09.307Z;2023-04-19T15:30:21.889Z;;1;60450675;Rua Azevedo Bolão;Parque Araxá;916;2;2;3;;1.106;;STANDARD;HOME;;RESIDENTIAL;;-3.73537;RENTAL;Bairros;False;Casa para alugar em;;1.500;0;-38.552486;False;USED;GOOGLE;UNIT;0;False;VNPGPD;True;Ceará;ROOFTOP;False;;Alugar;BR;STREET;409ac94a-3caf-ac0a-1e48-cf47dfe6607b;/imovel/aluguel-casa-3-quartos-parque-araxa-fortaleza-ce-160m2-id-2627237318/;GRUPOZAP;2627237318;RENTAL;ALL;Fortaleza;VALID_STREET;mês;;1.500;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
premium;Fenix Imóveis e Serviços Ltda;240;324;Casa com 3 quartos para alugar, 240 m² por 2.605/mês - Vila União - Fortaleza/CE;Casa no Vila União, ampla e próximo da Etufor, da rodoviária Engenheiro João Thomé (Av. Borges de Melo) e do Hospital Infantil Albert Sabin.<br><br>Terreno 12 x 27, totalizando 324 m² com 240 m² de área construída com sala, varanda, 03 quartos (sendo 1 suíte), gabinete, WC social, cozinha, copa, dependência completa e área de serviço.<br><br>*05 vagas na garagem.<br><br>Localização:Rua Esperanto , nº 1500 - Vila União<br><br>Agende já sua visita!Não perca essa oportunidade! -;2023-04-24T22:23:31.722Z;2023-04-24T22:23:52.324Z;;5;60410622;Rua Esperanto;Vila União;1500;1;3;3;;106;;PREMIUM;HOME;;RESIDENTIAL;KITCHEN|BACKYARD|SERVICE_AREA;-3.767304;RENTAL;Bairros;False;Casa para alugar em;00615-J-CE;2.500;0;-38.540531;False;USED;GOOGLE;UNIT;0;False;CA0007;True;Ceará;ROOFTOP;False;;Alugar;BR;STREET;457da9fc-8393-1e8b-181b-01a386b52087;/imovel/aluguel-casa-3-quartos-com-cozinha-vila-uniao-fortaleza-ce-240m2-id-2628143466/;GRUPOZAP;2628143466;RENTAL;ALL;Fortaleza;VALID_STREET;mês;;2.500;casas;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;J Botelho Imóveis;170;;Casa para aluguel com 170 metros quadrados com 3 quartos em Serrinha - Fortaleza - CE;Casa com 3 quartos para LOCAÇÃO disponível no bairro Serrinha.<br><br>Imóvel com excelente localização, próximo as principais vias de acesso e pontos comerciais. De frente as lojas Americanas e ao lado do Super do Povo<br><br>- 3 quartos, 1 suíte<br>- 3 banheiros<br>- Sala de estar ampla e cozinha integrada<br>- Lavanderia <br>- Quintal <br><br>Valor da locação: R$1.500,00<br>Garantia: Seguro fiança, caução ou fiador;2023-04-27T17:38:38.657Z;2023-04-27T17:38:43.669Z;;1;60741575;Avenida Doutor Silas Munguba;Serrinha;4797;1;3;3;;714;;STANDARD;HOME;;RESIDENTIAL;;-3.795233;RENTAL;Bairros;False;Casa para alugar em;20641-J-CE;1.500;0;-38.532761;False;USED;GOOGLE;UNIT;0;False;CAJ1R2D3R;True;Ceará;RANGE_INTERPOLATED;False;;Alugar;BR;STREET;33efc62d-7487-6291-61d1-c10c3c025cb7;/imovel/aluguel-casa-3-quartos-serrinha-fortaleza-ce-170m2-id-2628830956/;GRUPOZAP;2628830956;RENTAL;ALL;Fortaleza;VALID_STREET;mês;;1.500;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;Simone Ulisses;130;200;Casa para aluguel tem 130 metros quadrados com 3 quartos em São José - Juazeiro do Norte - CE;A casa está localizado no bairro São José com 130 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros;2023-05-04T13:00:57.705Z;2023-05-04T13:01:01.388Z;;2;63024810;Rua Elias Pereira de Brito;São José;14;1;2;3;;200;;STANDARD;HOME;;RESIDENTIAL;;-7.217027;RENTAL;Bairros;False;Casa para alugar em;17503-F-CE;1.000;0;-39.336327;False;USED;GOOGLE;UNIT;0;False;1762HKG;True;Ceará;GEOMETRIC_CENTER;False;;Alugar;BR;STREET;5193d6a7-ac8b-d51d-3cfe-7d0e4aba3ef3;/imovel/aluguel-casa-3-quartos-sao-jose-juazeiro-do-norte-ce-130m2-id-2630140131/;GRUPOZAP;2630140131;RENTAL;ALL;Juazeiro do Norte;VALID_STREET;mês;;1.000;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
premium;Mellro;90;90;Aluguel de Casa no Bairro Itaperi. Direto com o dono!;Aluguel rápido e fácil!<br>Com a Mell.ro você aluga um imóvel com a rapidez que precisa. Você vai passar por uma análise de crédito e se aprovado, basta pagar o 1º aluguel. Nada de fiador ou caução.<br>Entre em contato e siga as instruções para negociar.;2023-05-03T04:56:41.461Z;2023-05-04T16:58:45.535Z;;1;60714350;Rua Recanto Tranquilo;Itaperi;419;;2;3;;130;;PREMIUM;HOME;;RESIDENTIAL;;-3.792733;RENTAL;Bairros;False;Casa para alugar em;;1.350;0;-38.545748;False;USED;GOOGLE;UNIT;0;False;79f88300-46d0-49c1-acf6-33e2462b67dc;True;Ceará;ROOFTOP;False;;Alugar;BR;STREET;de28b6fb-7092-104e-28d3-640be125c43f;/imovel/aluguel-casa-3-quartos-itaperi-fortaleza-ce-90m2-id-2629831760/;GRUPOZAP;2629831760;RENTAL;ALL;Fortaleza;VALID_STREET;mês;;1.350;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;Thalisson G. Albuquerque;155;245;Casa para aluguel com 155 metros quadrados com 3 quartos em São Gerardo - Fortaleza - CE;A casa no bairro São Gerardo localizado na Rua Haroldo Torres n²228 possui 155 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros até 05 vagas na garagem, em excelente localização próximo a tudo.<br><br> agende uma visita nos telefones acima.;2023-04-20T15:04:50.072Z;2023-04-20T19:20:34.737Z;;5;60320845;Rua Haroldo Torres;Sao Gerardo;228;1;2;3;;1;1;STANDARD;HOME;;RESIDENTIAL;;-3.726762;RENTAL;Bairros;False;Casa para alugar em;;1.809;0;-38.555911;False;USED;GOOGLE;UNIT;0;False;1H1DS0U;True;Ceará;ROOFTOP;False;;Alugar;BR;STREET;224132cd-4c9a-3743-c382-c359e8792ba6;/imovel/aluguel-casa-3-quartos-sao-gerardo-fortaleza-ce-155m2-id-2627459165/;GRUPOZAP;2627459165;RENTAL;ALL;Fortaleza;VALID_STREET;mês;1.810;1.809;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;VETTOR IMÓVEIS;130;;Casa para alugar na Sapiranga;Casa plana com 130m², Sala ampla para dois ambientes, cozinha americana, despensa, 3 quartos sendo 2 suítes e uma suíte reversível, ar-condicionado, corredor lateral, área de serviço, 3 vagas de garagem, portão eletrônico, Churrasqueira.;2023-05-02T17:53:58.803Z;2023-05-02T17:54:02.840Z;;2;60833075;Rua Marcelino Lopes;Sapiranga;4519;3;3;3;;79;;STANDARD;HOME;;RESIDENTIAL;PETS_ALLOWED|AIR_CONDITIONING;-3.791255;RENTAL;Bairros;False;Casa para alugar em;11894-F-CE;2.100;0;-38.460122;False;USED;GOOGLE;UNIT;0;False;8C2RB9;True;Ceará;ROOFTOP;False;;Alugar;BR;STREET;a600024f-aa86-2740-2610-cad2a1165430;/imovel/aluguel-casa-3-quartos-sapiranga-fortaleza-ce-130m2-id-2629706293/;GRUPOZAP;2629706293;RENTAL;ALL;Fortaleza;VALID_STREET;mês;;2.100;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
