type;account.name;listing.usableAreas;listing.totalAreas;listing.title;listing.description;listing.createdAt;listing.updatedAt;listing.floors;listing.parkingSpaces;listing.address.zipCode;listing.address.street;listing.address.neighborhood;listing.address.streetNumber;listing.suites;listing.bathrooms;listing.bedrooms;listing.pricingInfo.salePrice;listing.pricingInfo.yearlyIptu;listing.pricingInfo.monthlyCondoFee;listing.publicationType;listing.unitTypes;listing.unitSubTypes;listing.usageTypes;listing.amenities;listing.address.point.lat;listing.pricingInfo.businessType;listing.address.zone;listing.acceptExchange;listing.subtitle;account.licenseNumber;listing.pricingInfo.price;listing.unitFloor;listing.address.point.lon;listing.preview;listing.listingType;listing.address.point.source;listing.propertyType;listing.unitsOnTheFloor;listing.isInactive;listing.externalId;listing.pricingInfo.isRent;listing.address.state;listing.address.precision;listing.pricingInfo.isSale;listing.legacyId;listing.pricingInfo.businessLabel;listing.address.country;listing.address.level;listing.advertiserId;listing.link;listing.portal;listing.id;listing.businessTypeContext;listing.displayAddressType;listing.address.city;listing.address.confidence;listing.pricingInfo.period;listing.pricingInfo.rentalTotalPrice;listing.pricingInfo.rentalPrice;imvl_type;listing.pool;listing.sauna;listing.backyard;listing.garden;listing.barbgrill;listing.partyhall;listing.tenniscourt;listing.sportcourt;listing.bathtub;listing.soundproofing;listing.fireplace;listing.gym;listing.hottub;listing.furnished;listing.guestpark;listing.playground;listing.mountainview
superPremium;Regiane Rosa;140;180;Casa para aluguel e venda com 140 metros quadrados com 3 quartos em Praia do Morro - Guarapari - ES;Excelente casa na Praia do Morro possuindo três quartos amplos sendo um deles uma suíte com ar condicionado Split instalado, salas conjugadas de TV e jantar, cozinha, banheiro social, lavabo, área de serviço, espaço gourmet com bancada de granito, armários e churrasqueira, duas vagas de garagem, portão eletrônico e interfone!<br><br>Imóvel com cômodos bem amplos, muito arejado, com excelente localização da Praia do Morro, estando numa região tranquila e mesmo assim próximo de supermercados, farmácias, padarias, lanchonetes, restaurantes, bancos, academias e diversas lojas.<br><br>Um imóvel bem amplo e com excelente acabamento, possuindo uma área total de 140m² de construção e 180 de terreno. <br><br>Fica numa localização privilegiada, estacando-se pela tranquilidade e comodidade de ter um comercio local forte e estar há poucas quadras da orla da Praia do Morro que, certamente é a praia mais frequentada e badalada de Guarapari, um verdadeiro ponto de encontro turístico da cidade. Com uma extensão de aproximadamente 4 quilômetros, com areia fina, clara e solta, e uma ótima infraestrutura, a praia conquista então, pessoas de todos os estilos.<br><br>A orla possui lojas, supermercados, farmácias, hotéis, pousadas, restaurantes, etc., ou seja, tudo o que as pessoas necessitam para um turismo completo. Durante o ano todo existem, portanto, diversas opções para realizar compras diretamente na areia da praia, devido a mordomia oferecida pelos vendedores ambulantes.<br><br>Além disso, a Praia do Morro é a maior de Guarapari tanto em extensão, quanto em atratividades em época de alta temporada.;2023-04-24T15:05:08.926Z;2023-04-24T15:22:07.970Z;2;2;29216350;Rua Honolulu;Praia do Morro;211;1;3;3;510.000;;;SUPER_PREMIUM;HOME;;RESIDENTIAL;SERVICE_ENTRANCE|SIDE_ENTRANCE|BARBECUE_GRILL|GOURMET_SPACE|ELECTRONIC_GATE|NEAR_ACCESS_ROADS|NEAR_SCHOOL|NEAR_PUBLIC_TRANSPORT|SERVICE_AREA|KITCHEN_CABINETS|BATHROOM_CABINETS|BARBECUE_BALCONY|SANCA|INTERCOM|LARGE_ROOM|BALCONY|BACKYARD|PETS_ALLOWED|AIR_CONDITIONING|AMERICAN_KITCHEN|GOURMET_BALCONY;-20.648028;SALE_RENTAL;Bairros;False;Casa para comprar e alugar em;07342-F-ES;510.000;0;-40.483516;False;USED;GOOGLE;UNIT;1;False;CASCRI;True;Espírito Santo;ROOFTOP;True;;Comprar/Alugar;BR;STREET;c36506f9-c0ef-15dc-63a5-0ccaf8de5686;/imovel/venda-casa-3-quartos-com-churrasqueira-praia-do-morro-guarapari-es-140m2-id-2628083075/;GRUPOZAP;2628083075;SALE;ALL;Guarapari;VALID_STREET;mês;;2.500;casas;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False
superPremium;NOVALIANÇA IMOBILIÁRIA;120;360;Casa com 3 quartos para alugar, 120 m² - Morada do Sol - Vila Velha/ES;Excelente Casa para Alugar em Morada do Sol, super espaçosa, pé direito duplo com ótimo acabamento. Possui sala para 2 ambientes, cozinha, 3 quartos sendo 1 suíte, varanda e área externa ampla que conta com gramado, além de vaga de garagem. Vale a pena conferir! Fale com um de nossos corretores online ou ligue e agende sua visita! -;2023-04-25T22:27:07.509Z;2023-05-05T11:30:43.591Z;;2;29128440;Rua Sete;Morada do Sol;;1;3;3;;;;SUPER_PREMIUM;HOME;;RESIDENTIAL;KITCHEN|SERVICE_AREA;;RENTAL;Bairros;False;Casa para alugar em;06227-J-ES;3.500;0;;False;USED;;UNIT;0;False;CA2382;True;Espírito Santo;GEOMETRIC_CENTER;False;;Alugar;BR;STREET;78f9f84b-c174-a5f4-12fd-65022c848292;/imovel/aluguel-casa-3-quartos-com-cozinha-morada-do-sol-vila-velha-es-120m2-id-2628378075/;GRUPOZAP;2628378075;RENTAL;STREET;Vila Velha;VALID_STREET;mês;;3.500;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
superPremium;MC Corretora de Imoveis;200;200;Casa 3 Dormitórios para locação em Aracruz - ES;A Mc Corretora de Imóveis, ALUGA casa no 1 andar no Centro com: <br><br>3 quartos // 1 suíte com closet e varanda // 3 salas // 1 escritório // Hall // banheiro social // cozinha // área de serviço com banheiro // despensa // varanda na sala // Garagem 1 vaga // espaço para guardar bicicletas.<br><br>A casa possui 200 m2<br><br>Valor de aluguel 3 mil <br><br>Consulte nosso time de Corretores<br><br>Gean Ferreira Creci-010861-F <br><br>MC Imóveis Aracruz Creci-9508-J <br><br>13 anos de experiência no MERCADO IMOBILIÁRIO<br>MC Corretora de Imóveis<br>Líder no mercado imobiliário de Aracruz<br>CRECI 9508-J<br><b>Características:</b> Banheiros: 2 Dormitórios: 3 Suite: 1 Garagem: 1 Área Total: 200 Área Privativa / Construída: 200 Escritório Sala de Jantar Sala de Estar Cozinha Área de serviço;2023-03-21T01:21:31.640Z;2023-03-29T00:14:31.633Z;;1;29190062;Rua Professor Lobo;Centro;000;;2;3;;;;SUPER_PREMIUM;HOME;;RESIDENTIAL;KITCHEN|GARAGE|HOME_OFFICE|SERVICE_AREA;-19.824455;RENTAL;Bairros;False;Casa para alugar em;8503-F-ES;3.000;0;-40.274393;False;USED;GOOGLE;UNIT;0;False;884;True;Espírito Santo;APPROXIMATE;False;;Alugar;BR;NEIGHBORHOOD;f770b046-9667-67c5-bfea-9c0c71d68d55;/imovel/aluguel-casa-3-quartos-com-cozinha-centro-aracruz-es-200m2-id-2619801422/;GRUPOZAP;2619801422;RENTAL;ALL;Aracruz;VALID_STREET;mês;;3.000;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
premium;Moradavip Imóveis;250;250;Casa para aluguel com 250 metros quadrados com 3 quartos em Costa Dourada - Serra - ES;"Casa residencial, 3 quartos, 250m², terreno amplo e murada, ideal para receber amigos e familiares..<br>Linda casa para acomodar você e sua família, com quintal amplo na parte da frente, poço, garagem coberta, sala de estar com sofá, mesinha de canto, painel e estante na parte inferior do painel. Sala de jantar com mesa, cadeiras e ventilador de teto. A porta com acesso a cozinha é de vidro. Cozinha com armários, geladeira, fogão, micro-ondas, balcão da pia em mármore preto, 3 quartos, sendo um quarto suíte com duas camas de solteiro, guarda roupa e ventilador de teto. Um quarto com uma cama de casal, ventilador no teto e guarda roupa de madeira. Um quarto com cama de casal cabideiro, ventilador de teto e mesinha de canto. Banheiro social, área de serviço com tanque. Varanda coberta na parte dos fundos toda em cerâmica com pia externa, armários, churrasqueira, mesa de madeira com bancos, e um fechamento em vidro com acesso a parte de trás aonde fica o terreno.<br>*Valores do anúncio sujeitos a alteração a qualquer momento sem aviso prévio*<br><br>A casa pode ser alugada com ou sem a utilização do terreno. <br>Os valores variam:<br>Casa mobiliada com a utilização do terreno na parte de trás: 3.500,00;<br>Casa sem a utilização do terreno na parte de trás: 2.800,00.";2023-05-03T16:05:05.914Z;2023-05-04T14:01:34.335Z;;;29175180;Rua Guaraciaba;Costa Dourada;91;2;2;3;;32;;PREMIUM;HOME;;RESIDENTIAL;;-20.141057;RENTAL;Bairros;False;Casa para alugar em;10132-J-ES;2.800;1;-40.182896;False;USED;GOOGLE;UNIT;0;False;CA0263;True;Espírito Santo;ROOFTOP;False;;Alugar;BR;STREET;8ea6f631-31a3-045f-c69c-c8714d7e4587;/imovel/aluguel-casa-3-quartos-costa-dourada-serra-es-250m2-id-2629952738/;GRUPOZAP;2629952738;RENTAL;ALL;Serra;VALID_STREET;mês;;2.800;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;Grupo SC;123;123;Casa Serra - Rodrigo 2️⃣7️⃣9️⃣9️⃣9️⃣1️⃣7️⃣8️⃣0️⃣5️⃣3️⃣;TRATAR COM RODRIGO 2️⃣7️⃣9️⃣9️⃣9️⃣1️⃣7️⃣8️⃣0️⃣5️⃣3️⃣<br><br>💰 PARE DE PAGAR ALUGUEL, E INVISTA NO QUE SERÁ SEU!!!<br><br>Casa Linda a Venda aberta a negociação com entrada a partir de $3 a 20 mil reais e parcelas de no mínimo $700 reais.<br><br>🏘Planos para imóveis 🏢<br>✔ Entradas a partir: 3.000 reais <br>✔ Parcelas a partir: 700,00 reais <br>❗ FACILITAMOS PARA TODOS OS PÚBLICOS ❗<br>(autônomos, negativados, baixo escore etc...)<br><br>Casa principal, com 04 dormitórios, sendo 01 suíte com armários planejados, ar condicionado e hidro, escritório, sala ampla com dois ambientes e jardim de inverno, copa/cozinha com piso em porcelanato e bancada de granito, sala de jantar com iluminação natural, banheiro com box de vidro e gabinete, área de serviços, quintal, 03 vagas de garagem. Casa dos fundos, 2 dormitórios, sala, cozinha e banheiro.<br><br>Rodrigo 2️⃣7️⃣9️⃣9️⃣9️⃣1️⃣7️⃣8️⃣0️⃣5️⃣3️⃣<br>Consultor Imobiliário da Caixa Econômica Federal;2023-05-02T15:44:17.700Z;2023-05-04T13:39:08.895Z;;2;29173730;;Portal de Jacaraipe;;1;2;3;220.000;;;STANDARD;HOME;;RESIDENTIAL;;;SALE_RENTAL;Bairros;False;Casa para comprar e alugar em;;220.000;0;;False;USED;;UNIT;0;False;Rodrigo1GDLR9L;True;Espírito Santo;ROOFTOP;True;;Comprar/Alugar;BR;STREET;3c1a9580-df9d-ff78-bc78-f1f36799ff36;/imovel/venda-casa-3-quartos-portal-de-jacaraipe-serra-es-123m2-id-2629686462/;GRUPOZAP;2629686462;SALE;NEIGHBORHOOD;Serra;VALID_STREET;mês;;1.200;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;Laudir Imóveis;100;120;Casa em José de Anchieta - Serra;Ampla casa de 3 quartos, sala cozinha, garagem para 2 veículos, varanda, no centro bairro Jose de Anchieta, próximo ao comercio padaria, posto de saude.;2023-04-30T04:06:04.643Z;2023-04-30T04:06:06.952Z;;2;29162122;Rodovia Governador Mário Covas;Jose de Anchieta;;;1;3;;;;STANDARD;HOME;;RESIDENTIAL;;-20.184446;RENTAL;Bairros;False;Casa para alugar em;10627-J-ES;1.300;0;-40.266937;False;USED;GOOGLE;UNIT;0;False;883;True;Espírito Santo;GEOMETRIC_CENTER;False;;Alugar;BR;STREET;e94eaed0-c756-251a-2a40-0f2fa76752c1;/imovel/aluguel-casa-3-quartos-jose-de-anchieta-serra-es-100m2-id-2629334702/;GRUPOZAP;2629334702;RENTAL;ALL;Serra;VALID_STREET;mês;;1.300;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
premium;Betha Espaço Itaparica;140;140;Locação Casa Jardim Asteca Vila Velha;"<b>Casa residencial duplex ""ampla"" será alugada a parte do térreo. Rua tranquila, proximo aos comercios de Novo México, Santa Monica. Além de escolas, academias etc.</b><br> <br> <br> <br>Varanda conjugada com garagem<br> <br>Sala ampla para até 3 ambientes<br> <br>03 Quartos sendo 1 suite com armário e box<br> <br>WC social com armário e box<br> <br>Área de serviço com lavabo<br> <br>";2023-05-05T09:34:26.462Z;2023-05-05T09:36:04.679Z;;1;29104470;Rua Narciso;Jardim Asteca;;1;2;3;;412;;PREMIUM;HOME;;RESIDENTIAL;BALCONY;;RENTAL;Bairros;False;Casa para alugar em;04294-J-ES;2.000;0;;False;USED;;UNIT;0;False;511803;True;Espírito Santo;GEOMETRIC_CENTER;False;;Alugar;BR;STREET;15bb28ab-19a4-670a-615f-fd4911af6a25;/imovel/aluguel-casa-3-quartos-com-varanda-jardim-asteca-vila-velha-es-140m2-id-2630362556/;GRUPOZAP;2630362556;RENTAL;STREET;Vila Velha;VALID_STREET;mês;;2.000;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;Casa Imobiliaria ES;80;80;BOM - Casa no bairro Mestre Álvaro, 3 quartos com suíte, 4 Vagas de garagem! 3M;BOM - CASA IMOBILIÁRIA<br><br>Casa para aluguel no bairro Mestre Álvaro, 3 quartos com suíte, 4 vagas de garagem por 1.600,00.<br><br>1° Passo: Documentação do cliente ( RG ou CNH , C. de Renda e C. de residência atual )<br><br>2° Passo: Pagamento de imediato do aluguel + fiador ou aluguel + 2 cauções.<br><br>3° Passo: Assinar contrato mínimo de 12 meses.;2023-05-03T16:26:05.722Z;2023-05-03T16:26:10.177Z;;4;29170807;Rua Porto Seguro;Parque Residencial Mestre Alvaro;1;1;1;3;;1;1;STANDARD;HOME;;RESIDENTIAL;GATED_COMMUNITY|ELECTRONIC_GATE|CONCIERGE_24H|PETS_ALLOWED;-20.161674;RENTAL;Bairros;False;Casa para alugar em;;1.600;0;-40.267871;False;USED;GOOGLE;UNIT;0;False;BOM - OPORTUNIDADE! 3M3MQNU8;True;Espírito Santo;RANGE_INTERPOLATED;False;;Alugar;BR;STREET;8dce324a-c753-5e1a-bc58-9f5ed4df2259;/imovel/aluguel-casa-3-quartos-parque-residencial-mestre-alvaro-serra-es-80m2-id-2629956771/;GRUPOZAP;2629956771;RENTAL;ALL;Serra;VALID_STREET;mês;1.601;1.600;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;Grupo SC;100;120;Casa para venda possui 100 metros quadrados com 3 quartos Silvio 2️⃣7️⃣9️⃣9️⃣8️⃣9️⃣4️⃣8️⃣9️⃣3️⃣9️⃣;A casa está localizado no bairro Barramares tem 100 metros quadrados com 3 quartos sendo 1 suite e 1 banheiro<br> <br>Casas em toda região da Grande Vitória (Serra, Vila velha, Cariacica, Vitória)<br><br>Dentro do parcelamento vamos trabalhar com as melhores condições, parcelas e com entrada a partir 4.999,99 e com possibilidade de utilizar fgts a partir de 10.000,00 ! <br><br>Somente 20 Vagas limitadas 🫵🏾⏳<br><br>Me chame no WhatsApp<br> Silvio e realize seu cadastro<br>2️⃣7️⃣9️⃣9️⃣8️⃣9️⃣4️⃣8️⃣9️⃣3️⃣9️⃣;2023-05-01T08:58:39.365Z;2023-05-01T08:59:15.202Z;;2;29124320;Rua Santa Marta;Barramares;1999;1;1;3;150.000;500;;STANDARD;HOME;;RESIDENTIAL;;-20.440297;RENTAL_SALE;Bairros;False;Casa para alugar e comprar em;;750;0;-40.345721;False;USED;GOOGLE;UNIT;0;False;2️⃣7️⃣9️⃣9️⃣8️⃣9️⃣4️⃣8️⃣9️⃣3️⃣9️⃣;True;Espírito Santo;GEOMETRIC_CENTER;True;;Alugar/Comprar;BR;STREET;3c1a9580-df9d-ff78-bc78-f1f36799ff36;/imovel/venda-casa-3-quartos-barramares-vila-velha-es-100m2-id-2629496161/;GRUPOZAP;2629496161;RENTAL;ALL;Vila Velha;VALID_STREET;mês;;750;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;LEONARDO MATOS IMÓVEIS - LTDA ME;110;120;Casa em Manguinhos;Casa 3 quartos, sendo uma suíte com varanda. <br>Imóvel numa das melhores localidades em Manguinhos, pertinhodo do mar! <br>Armários embutidos na cozinha e banheiro e 2 vagas de garagem.<br>Quintal na frente e nos fundos do imóvel.;2023-04-25T09:16:22.003Z;2023-04-25T09:22:35.538Z;;2;29173041;Rua 22 de Abril;Manguinhos;756;1;3;3;;350;;STANDARD;HOME;;RESIDENTIAL;FENCE|SERVICE_AREA|KITCHEN_CABINETS|BATHROOM_CABINETS|LARGE_KITCHEN|PORCELAIN|BACKYARD|AMERICAN_KITCHEN;-20.198876;RENTAL;Bairros;False;Casa para alugar em;11548-F-ES;2.800;0;-40.195464;False;USED;GOOGLE;UNIT;0;False;ALUGUEL22DE ABRIL;True;Espírito Santo;ROOFTOP;False;;Alugar;BR;STREET;853fcfd4-b2f0-28fb-a011-6aa61c02bf4d;/imovel/aluguel-casa-3-quartos-com-cerca-manguinhos-serra-es-110m2-id-2628232526/;GRUPOZAP;2628232526;RENTAL;ALL;Serra;VALID_STREET;mês;;2.800;casas;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False
