type;account.name;listing.usableAreas;listing.totalAreas;listing.title;listing.description;listing.createdAt;listing.updatedAt;listing.floors;listing.parkingSpaces;listing.address.zipCode;listing.address.street;listing.address.neighborhood;listing.address.streetNumber;listing.suites;listing.bathrooms;listing.bedrooms;listing.pricingInfo.salePrice;listing.pricingInfo.yearlyIptu;listing.pricingInfo.monthlyCondoFee;listing.publicationType;listing.unitTypes;listing.unitSubTypes;listing.usageTypes;listing.amenities;listing.address.point.lat;listing.pricingInfo.businessType;listing.address.zone;listing.acceptExchange;listing.subtitle;account.licenseNumber;listing.pricingInfo.price;listing.unitFloor;listing.address.point.lon;listing.preview;listing.listingType;listing.address.point.source;listing.propertyType;listing.unitsOnTheFloor;listing.isInactive;listing.externalId;listing.pricingInfo.isRent;listing.address.state;listing.address.precision;listing.pricingInfo.isSale;listing.legacyId;listing.pricingInfo.businessLabel;listing.address.country;listing.address.level;listing.advertiserId;listing.link;listing.portal;listing.id;listing.businessTypeContext;listing.displayAddressType;listing.address.city;listing.address.confidence;listing.pricingInfo.period;listing.pricingInfo.rentalTotalPrice;listing.pricingInfo.rentalPrice;imvl_type;listing.pool;listing.sauna;listing.backyard;listing.garden;listing.barbgrill;listing.partyhall;listing.tenniscourt;listing.sportcourt;listing.bathtub;listing.soundproofing;listing.fireplace;listing.gym;listing.hottub;listing.furnished;listing.guestpark;listing.playground;listing.mountainview
superPremium;CASA GRANDE IMOBILIARIA LTDA - ME;500;1000;Aluguel Casa CIDADE JARDIM;Excelente sobrado para fins residenciais ou comerciais na melhor localização da cidade, a Zona Sul, próximo ao Praia Clube. Imóvel com excelente acabamento, aproximadamente 500m² de construção e amplo terreno de 1000m². Possui sala de visitas em 2 ambientes, sala de tv, escritório, sala de jantar e ampla cozinha com fogão e armários planejados. Piso superior com 3 suítes amplas com armários sendo uma suíte máster com closet e hidromassagem. Possui ainda garagem para 10 carros, amplo salão para eventos, espaço gourmet com forno de pizza, churrasqueira e fogão por indução, fogo de chão, gazebo e ampla piscina. Imóvel com localização privilegiada e fácil acesso.;2023-04-20T23:39:36.571Z;2023-05-03T12:13:14.282Z;;9;38412166;Avenida Uirapuru;Cidade Jardim;1000;3;5;3;;;;SUPER_PREMIUM;HOME;;RESIDENTIAL;;-18.945352;RENTAL;Bairros;False;Casa para alugar em;03321-J-MG;18.000;0;-48.292307;False;USED;GOOGLE;UNIT;0;False;27165;True;Minas Gerais;ROOFTOP;False;;Alugar;BR;STREET;430da04c-fece-7d1e-d2d2-5924fcb6b7d0;/imovel/aluguel-casa-3-quartos-cidade-jardim-uberlandia-mg-500m2-id-2627541476/;GRUPOZAP;2627541476;RENTAL;ALL;Uberlândia;VALID_STREET;mês;;18.000;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
superPremium;Luiz Renato Imoveis Aluguel;358;358;Casa 3 quartos, 6 vagas - Jardim Atlântico.;"Casa próxima a Lagoa da Pampulha, Iate clube, Supermercado Super Nosso, MC Donald´s...<br><br>Fácil acesso Av. Portugal<br><br>2 Salas amplas e arejadas; <br>3 quartos suítes sendo 2 com closet; <br>Banho social com armário e box de vidro temperado;<br>Cozinha revestida, rica em armários; <br>Área de serviço;<br><br>6 vagas de garagem;Oportunidade!";2023-03-16T09:35:45.251Z;2023-05-05T05:52:29.712Z;0;6;31555030;Rua Ilha Grande;Jardim Atlântico;;3;4;3;;4.872;;SUPER_PREMIUM;HOME;;RESIDENTIAL;AIR_CONDITIONING|FURNISHED|GARAGE|KITCHEN|HEATING|INTERCOM|ALARM_SYSTEM|GARDEN|BARBECUE_GRILL|SERVICE_AREA;;RENTAL;Bairros;False;Casa para alugar em;;13.000;1;;False;USED;;UNIT;0;False;37323;True;Minas Gerais;ROOFTOP;False;;Alugar;BR;STREET;0016c36d-8ef1-9ad5-d77e-4cf77fb9663b;/imovel/aluguel-casa-3-quartos-mobiliado-jardim-atlantico-belo-horizonte-mg-358m2-id-2618990415/;GRUPOZAP;2618990415;RENTAL;STREET;Belo Horizonte;VALID_STREET;mês;;13.000;casas;False;False;False;True;True;False;False;False;False;False;False;False;False;True;False;False;False
superPremium;LAR IMÓVEIS LOCAÇÃO;121;300;Casa para aluguel, 3 quartos, 1 suíte, 3 vagas, Sagrada Família - Belo Horizonte/MG;"Casa - 3 quartos - Sagrada Família.<br><br>Sala com piso em tábua corrida;<br>Varanda;<br>3 quartos, sendo 1 dos quartos com armários, 1 suíte e 1 semi suíte;<br>3 banheiros com box e piso em cerâmica;<br>Cozinha com bancada em granito; <br>Área externa com quintal e pomar;<br><br>3 vagas de garagem cobertas.<br><br>Próximo a escola, restaurantes, supermercados, bancos, posto de saúde e hospital. (Os preços e informações poderão sofrer mudanças. Solicitamos a confirmação com nossa equipe).";2023-05-04T11:17:20.777Z;2023-05-05T11:19:32.147Z;0;3;31030100;Rua Barão de Cocais;Sagrada Família;224;1;3;3;;2.128;;SUPER_PREMIUM;HOME;;RESIDENTIAL;GARAGE|KITCHEN|HEATING|INTERCOM|BACKYARD;-19.910102;RENTAL;Bairros;False;Casa para alugar em;01341-J-MG;2.500;0;-43.921902;False;USED;GOOGLE;UNIT;0;False;91759;True;Minas Gerais;ROOFTOP;False;;Alugar;BR;STREET;7480c55e-a271-6c0d-c480-f1d5e488cc47;/imovel/aluguel-casa-3-quartos-sagrada-familia-belo-horizonte-mg-121m2-id-2630126219/;GRUPOZAP;2630126219;RENTAL;ALL;Belo Horizonte;VALID_STREET;mês;;2.500;casas;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False
premium;ARANTES IMÓVEIS ALUGUEL;360;1;Aluguel Casa JARAGUA;Casa localizada no bairro Jaragua com 03 quartos sendo 01 suite, banheiro social, sala, copa, cozinha, garagem, quintal e area de serviços.;2023-05-03T22:16:21.314Z;2023-05-05T10:20:34.139Z;;1;38413009;;Jaraguá;;1;2;3;;;;PREMIUM;HOME;;RESIDENTIAL;;;RENTAL;Bairros;False;Casa para alugar em;03959-J-MG;1.900;0;;False;USED;;UNIT;0;False;557916;True;Minas Gerais;GEOMETRIC_CENTER;False;;Alugar;BR;STREET;15d981f3-45fe-66a9-dab4-9028f706a79e;/imovel/aluguel-casa-3-quartos-jaragua-uberlandia-mg-360m2-id-2630004563/;GRUPOZAP;2630004563;RENTAL;NEIGHBORHOOD;Uberlândia;VALID_STREET;mês;;1.900;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;Eterciana Rodrigues;80;200;BORDA DA MATA - Casa Padrão - Santa Rita;Uma casa com tres quartos, sendo uma suíte, sala, cozinha, banheiro, area de serviço, quintal e garagem.;2023-05-03T08:24:42.157Z;2023-05-03T08:24:43.063Z;;1;37564000;;;;1;1;3;;;;STANDARD;HOME;;RESIDENTIAL;;;RENTAL;;False;Casa para alugar em;;1.000;0;;False;USED;;UNIT;0;False;ETE650;True;Minas Gerais;APPROXIMATE;False;;Alugar;BR;CITY;1d2c306b-1523-209b-c5c3-37931aadb0aa;/imovel/aluguel-casa-3-quartos-borda-da-mata-mg-80m2-id-2629865276/;GRUPOZAP;2629865276;RENTAL;NEIGHBORHOOD;Borda da Mata;VALID_STREET;mês;;1.000;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
premium;Isto e Imóveis;360;;Excelente Casa 03 qrts no Bairro Alvorada - Contagem - MG;Excelente Casa situada no Bairro Alvorada, sala para dois ambientes, copa ampla, cozinha com armários planejados, banho social, 03 quartos sendo 02 suítes com ar condicionado, area de serviço, área externa ampla e 04 vagas de garagem .<br><br>CONDIÇÕES FACILITADAS PARA LOCAÇÃO!!!;2023-05-03T17:35:42.545Z;2023-05-03T17:37:24.335Z;;4;32042250;Avenida Benjamim Camargos;Alvorada;5577;2;3;3;;;;PREMIUM;HOME;;RESIDENTIAL;ELECTRONIC_GATE|GARDEN;-19.898178;RENTAL;Bairros;False;Casa para alugar em;;4.000;0;-44.079192;False;USED;GOOGLE;UNIT;0;False;119H15T;True;Minas Gerais;GEOMETRIC_CENTER;False;;Alugar;BR;STREET;9dcce19e-6c26-5d23-f7eb-9b43147fefc0;/imovel/aluguel-casa-3-quartos-alvorada-contagem-mg-360m2-id-2629967188/;GRUPOZAP;2629967188;RENTAL;ALL;Contagem;VALID_STREET;mês;;4.000;casas;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False
;APACHE PONTE NOVA;97;97;PONTE NOVA - Casa Padrão - Ana Florência;casa geminada em Ponte Nova, no bairro Ana Florência, possuindo 03 quartos, sala, banheiro social, cozinha área de serviço.;2023-05-03T04:56:47.233Z;2023-05-03T04:56:48.726Z;;1;35432040;;Ana Florência;;;1;3;;93;;STANDARD;HOME;;RESIDENTIAL;;;RENTAL;Bairros;False;Casa para alugar em;04149-J-MG;500;0;;False;USED;;UNIT;0;False;APA4376;True;Minas Gerais;APPROXIMATE;False;;Alugar;BR;NEIGHBORHOOD;45c80468-1379-8252-3003-23dfa5154a62;/imovel/aluguel-casa-3-quartos-ana-florencia-ponte-nova-mg-97m2-id-2629823001/;GRUPOZAP;2629823001;RENTAL;NEIGHBORHOOD;Ponte Nova;VALID_STREET;mês;;500;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;NORTE SUL IMÓVEIS;110;200;Casa com 3 dormitórios para alugar, 110 m² por 1.400,00/mês - Residencial Bela Vista - Brumadinho;Oportunidade de Locação Em Brumadinho !!!<br><br>Casa com 3 Quartos, Sala, Cozinha, Copa, Cozinha Com Armários, Área De Serviço, Banheiro Com Box e 3 Vagas De Garagem Cobertas.<br><br>Não Perca Está Oportunidade !!!<br><br>Agende Sua Visita (Chaves Na Imobiliária)<br><br>Tel.: -;2023-05-03T14:53:34.758Z;2023-05-04T02:56:08.714Z;;3;35460000;;Residencial Bela Vista;;0;1;3;;;;STANDARD;HOME;;RESIDENTIAL;KITCHEN|SERVICE_AREA;;RENTAL;Bairros;False;Casa para alugar em;04135-F-MG;1.400;0;;False;USED;;UNIT;0;False;CA0292;True;Minas Gerais;RANGE_INTERPOLATED;False;;Alugar;BR;STREET;7c758edd-28cc-4d4a-6b12-85932e8aeb13;/imovel/aluguel-casa-3-quartos-com-cozinha-residencial-bela-vista-brumadinho-mg-110m2-id-2629936428/;GRUPOZAP;2629936428;RENTAL;NEIGHBORHOOD;Brumadinho;VALID_STREET;mês;;1.400;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;INOVA PLATAFORMA DE INTEGRACAO;130;130;Casa com 3 dormitórios para alugar em Belo Horizonte;Casa 03 quartos para aluguel no bairro Serrano- 03 quartos amplos sendo 01 com suíte- 01 sala de TV ampla e arejada- 01 cozinha conjugada com copa- 01 banho social com box em vidro temperado- 01 área de serviço coberta e ampla- 01 despensa- 01 quintal de fundos- 02 vagas de garagem coberta (carro pequeno)Vantagens- Rua tranquila, fácil acesso à Av. Abílio Machado e Av. Serrana.- Próximo a vasto comercio e escolas.- Casa individual- Espaço externo e cômodos muito amplosAgende já sua visita!... Código do imóvel: CA0116_LIS na imobiliária.;2023-05-01T01:14:57.689Z;2023-05-01T01:15:03.717Z;;2;30881600;Rua Jornalista Helvídio Prisco;Serrano;;1;2;3;;160;;STANDARD;HOME;;RESIDENTIAL;GARDEN|INTERCOM|BALCONY;-19.886322;RENTAL;Bairros;False;Casa para alugar em;24252-J-MG;2.200;0;-44.013793;False;USED;GOOGLE;UNIT;0;False;204007;True;Minas Gerais;GEOMETRIC_CENTER;False;;Alugar;BR;STREET;70ed6945-cec4-5ad7-d306-e212d9dfc22a;/imovel/aluguel-casa-3-quartos-com-jardim-serrano-belo-horizonte-mg-130m2-id-2629455708/;GRUPOZAP;2629455708;RENTAL;ALL;Belo Horizonte;VALID_STREET;mês;;2.200;casas;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False
;INOVA PLATAFORMA DE INTEGRACAO;140;140;Casa com 3 dormitórios para alugar em Contagem;Aluga-se Casa no Bairro Vila beneves, a 5 minutos do centro de Contagem. Casa composta, de 3 Quartos, suíte, sala, cozinha, banheiro. (casa no segundo pavimento independente)Obs@ Casa tem uma excelente varanda, mas não tem quintal -Garagem para 2 carros -IPTU R120 mensal -R1.500 Endereço do Imóvel Bairro Vila Beneves Rua do Registro, nº135 Código do imóvel: WS305 na imobiliária.;2023-05-01T01:15:00.737Z;2023-05-01T01:15:03.610Z;;2;32044295;Rua do Registro;Vila Beneves;;1;2;3;;120;;STANDARD;HOME;;RESIDENTIAL;;-19.90019;RENTAL;Bairros;False;Casa para alugar em;24252-J-MG;1.500;0;-44.093445;False;USED;GOOGLE;UNIT;0;False;211738;True;Minas Gerais;GEOMETRIC_CENTER;False;;Alugar;BR;STREET;70ed6945-cec4-5ad7-d306-e212d9dfc22a;/imovel/aluguel-casa-3-quartos-vila-beneves-contagem-mg-140m2-id-2629456335/;GRUPOZAP;2629456335;RENTAL;ALL;Contagem;VALID_STREET;mês;;1.500;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
