type;account.name;listing.usableAreas;listing.totalAreas;listing.title;listing.description;listing.createdAt;listing.updatedAt;listing.floors;listing.parkingSpaces;listing.address.zipCode;listing.address.street;listing.address.neighborhood;listing.address.streetNumber;listing.suites;listing.bathrooms;listing.bedrooms;listing.pricingInfo.salePrice;listing.pricingInfo.yearlyIptu;listing.pricingInfo.monthlyCondoFee;listing.publicationType;listing.unitTypes;listing.unitSubTypes;listing.usageTypes;listing.amenities;listing.address.point.lat;listing.pricingInfo.businessType;listing.address.zone;listing.acceptExchange;listing.subtitle;account.licenseNumber;listing.pricingInfo.price;listing.unitFloor;listing.address.point.lon;listing.preview;listing.listingType;listing.address.point.source;listing.propertyType;listing.unitsOnTheFloor;listing.isInactive;listing.externalId;listing.pricingInfo.isRent;listing.address.state;listing.address.precision;listing.pricingInfo.isSale;listing.legacyId;listing.pricingInfo.businessLabel;listing.address.country;listing.address.level;listing.advertiserId;listing.link;listing.portal;listing.id;listing.businessTypeContext;listing.displayAddressType;listing.address.city;listing.address.confidence;listing.pricingInfo.period;listing.pricingInfo.rentalTotalPrice;listing.pricingInfo.rentalPrice;imvl_type;listing.pool;listing.sauna;listing.backyard;listing.garden;listing.barbgrill;listing.partyhall;listing.tenniscourt;listing.sportcourt;listing.bathtub;listing.soundproofing;listing.fireplace;listing.gym;listing.hottub;listing.furnished;listing.guestpark;listing.playground;listing.mountainview
superPremium;Elza Madalena Marsola;200;200;MARAVILHOSO APARTAMENTO 200M² JUNTO A N.S. DA PAZ;RUA MARIA QUITÉRIA, TRECHO NOBRE ENTRE AV. EPITÁCIO PESSOA E AV. VIEIRA SOUTO, PROXIMO AO METRÔ NOSSA SENHORA DA PAZ, CONDOMINIO E IPTU BARATO, GARAGEM PRÉDIO SEGURO, POREM SEM PORTARIA 24H, MONITORADO POR CIRCUITO INTERNO DE TV, APENAS DOIS APARTAMENTOS POR ANDAR, APARTAMENTO COMPOSTO DE: AMPLO LIVING PARA 03 AMBIENTES, COM JANELÕES, VISTA PARA COPAS DAS AMENDOEIRAS, PISO TODO EM TÁBUA CORRIDAS, CIRCULAÇÃO COM ARMÁRIOS, LAVABO, 04 QUARTOS, SENDO 03 COM ARMÁRIOS E A SUITE COM BANHEIRA DE HIDROMASSAGEM, BANHEIROS SOCIAL E DA SUITE COM BOX BLINDEX, BANCADA GRANITO, PISO E PAREDE REVESTIDOS COM CERÂMICA, LOCAL MUITO NOBRE E O APARTAMENTO POSSUI UMA EXCELENTE PLANTA. AMPLA COZINHA, COM ARMÁRIOS, BANCADA GRANITO, ÁREA DE SERVIÇO E DEPENDÊNCIA DE EMPREGADA COMPLETO. CLARO, AREJADO, ANDAR INTERMEDIÁRIO, RUA SEM PASSAGEM DE ONIBUS, SOMENTE VEÍCULOS DE PASSEIO. <br>VALOR:,10.800,00<br>CONDOMINIO: 1.300,00<br>IPTU: 330,00;2022-10-26T18:22:32.399Z;2023-05-13T22:49:15.859Z;;1;22410040;Rua Maria Quitéria;Ipanema;1;1;3;4;;330;1.300;SUPER_PREMIUM;APARTMENT;;RESIDENTIAL;SERVICE_AREA;-22.98633;RENTAL;Zona Sul;False;Apartamento para alugar em;49274-F-RJ;10.800;2;-43.207232;False;USED;GOOGLE;UNIT;0;False;LOCAL COBIÇADO DE IPANEMA JUNTO N.S. DA PAZ;True;Rio de Janeiro;RANGE_INTERPOLATED;False;;Alugar;BR;STREET;d4f5a130-d3c1-f08d-70c7-1d96452838ca;/imovel/aluguel-apartamento-4-quartos-com-area-de-servico-ipanema-zona-sul-rio-de-janeiro-rj-200m2-id-2587857549/;GRUPOZAP;2587857549;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;12.100;10.800;apartamentos;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
superPremium;LEISGOLD IMÓVEIS;263;263;EXUBERANTE DIANTE DA BAÍA DE GUANABARA!;Um apartamento exuberante com uma planta inspirada em cada traço, em cada espaço de seus 263m² que fazem um todo diante Baía de Guanabara em seu ângulo mais bonito.<br><br>Hall de entrada, salão com vista panorâmica que se abre até o Cristo. Lavabo para as visitas. <br><br>Original quatro quartos, sendo uma suíte muito bem dimensionada com closet e jacuzzi. Hoje um dos quartos funciona como sala de jantar. Um banheiro social.<br><br>Copa cozinha repleta de marcenaria Florense, repleta de luz natural e vista verde.<br><br>Grande área de serviço com despensa. Dependências completas.<br><br>Duas vagas de garagem.<br><br>Portaria 24 horas.;2023-04-04T23:30:41.837Z;2023-05-06T02:27:52.385Z;;2;22290240;Avenida Pasteur;Botafogo;;1;3;4;2.800.000;8.119;2.600;SUPER_PREMIUM;APARTMENT;;RESIDENTIAL;ELEVATOR|EXTERIOR_VIEW|INTERCOM|KITCHEN;;RENTAL_SALE;Zona Sul;False;Apartamento para alugar e comprar em;063342-F-RJ;7.500;9;;False;USED;;UNIT;0;False;787;True;Rio de Janeiro;ROOFTOP;True;;Alugar/Comprar;BR;STREET;98106f7b-6158-d0d5-3627-d56963ce1821;/imovel/venda-apartamento-4-quartos-com-elevador-botafogo-zona-sul-rio-de-janeiro-rj-263m2-id-2622880099/;GRUPOZAP;2622880099;RENTAL;STREET;Rio de Janeiro;VALID_STREET;mês;10.100;7.500;apartamentos;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
superPremium;Agita Imóveis;201;201;Cobertura duplex para LOCAÇÃO com 201 m² com 4 quartos em Laranjeiras;VENDO ou ALUGO linda cobertura duplex em Laranjeiras com vista panorâmica para Cristo Redentor e Pão de Açúcar.<br><br>APTO amplo com 2 pavimentos divididos em: sala grande com cozinha integrada, área de serviço, varandão fechado com cortina de vidro com linda vista para Pão de Açúcar, sol da manhã, 2 quartos sendo 1 suíte, banheiro social, lavabo e escada de acesso ao 2º pavimento com: saleta, 2 quartos sendo 1 suíte, banheiro social, área externa com bancada gourmet e churrasqueira, piscina com deck com a linda vista do Pão de Açúcar e Cristo Redentor.<br><br>PRÉDIO com portaria e segurança 24 horas, infraestrutura completa com 2 piscinas sendo 1 com raia de 25m, churrasqueira, espaço gourmet, academia completa, salão de festas, espaço kids, pets, bicicletário, entre outras facilidades. <br><br>LIGUE, agende sua visita e surpreenda-se com a beleza desta cobertura com muito espaço e conforto pra sua família aproveitar muito. Você vai morar próximo ao farto comércio da Rua das Laranjeiras, com colégios de ponta, bilíngues, metrô a 200 metros, tudo para facilitar seu dia a dia.;2023-04-27T15:27:50.435Z;2023-05-15T16:56:27.486Z;10;2;22240006;Rua das Laranjeiras;Laranjeiras;;2;5;4;3.550.000;830;1.650;SUPER_PREMIUM;APARTMENT;PENTHOUSE|DUPLEX;RESIDENTIAL;RECEPTION|RECREATION_AREA|POOL_BAR|TOYS_PLACE|SECURITY_CAMERA|SERVICE_ENTRANCE|ENTRANCE_HALL|CHILDRENS_POOL|ADULT_POOL|MASSAGE|DRESS_ROOM2|GYM|BARBECUE_GRILL|GOURMET_SPACE|POOL|PLAYGROUND|PARTY_HALL|GAMES_ROOM|DISABLED_ACCESS|BICYCLES_PLACE|COWORKING|ELEVATOR|SAUNA|SPA|CONCIERGE_24H|NEAR_ACCESS_ROADS|NEAR_SCHOOL|NEAR_HOSPITAL|NEAR_SHOPPING_CENTER|NEAR_PUBLIC_TRANSPORT|SECURITY_24_HOURS|BALCONY|INTEGRATED_ENVIRONMENTS|SERVICE_AREA|KITCHEN_CABINETS|BATHROOM_CABINETS|BLINDEX_BOX|BARBECUE_BALCONY|GAS_SHOWER|WHIRLPOOL|INTERCOM|ALUMINUM_WINDOW|LARGE_WINDOW|LAVABO|PLANNED_FURNITURE|STAIR|PRIVATE_POOL|PORCELAIN|WALL_BALCONY|NATURAL_VENTILATION|PANORAMIC_VIEW|MOUNTAIN_VIEW|PETS_ALLOWED|AIR_CONDITIONING|AMERICAN_KITCHEN|GOURMET_BALCONY;;RENTAL_SALE;Zona Sul;False;Cobertura para alugar e comprar em;;13.800;12;;False;USED;;UNIT;6;False;COBERTURA LARANJEIRAS;True;Rio de Janeiro;ROOFTOP;True;;Alugar/Comprar;BR;STREET;ee6eb1cc-1d8f-29a5-e63f-d450e9edfb9d;/imovel/venda-cobertura-4-quartos-com-piscina-laranjeiras-zona-sul-rio-de-janeiro-rj-201m2-id-2628810454/;GRUPOZAP;2628810454;RENTAL;STREET;Rio de Janeiro;VALID_STREET;mês;15.450;13.800;apartamentos;True;True;False;False;True;True;False;False;False;False;False;True;False;False;False;True;True
premium;Washington Rodrigues da Silva;105;;Apartamento para aluguel com 105 metros quadrados com 4 quartos;R. Gen. Urquiza, 117 – Leblon, Rio de Janeiro – RJ, 22431-040<br><br>4 quartos |<br><br>(1 suíte)<br>105 m²<br><br>2 banheiros<br><br>3º andar<br><br>Com mobília<br><br>Itens disponíveis<br>Box<br><br>Armários embutidos no quarto<br><br>Armários nos banheiros<br><br>Armários na cozinha<br><br>Ar condicionado<br><br>Chuveiro a gás<br><br>Fogão incluso<br><br>Geladeira inclusa<br><br>Mesas e cadeiras de escritório<br><br>Quartos e corredores com portas amplas<br><br>Área de serviço;2023-05-17T15:33:48.955Z;2023-05-17T15:41:18.625Z;;1;22431040;Rua General Urquiza;Leblon;117;1;2;4;;;1.000;PREMIUM;APARTMENT;;RESIDENTIAL;PETS_ALLOWED|AIR_CONDITIONING|AMERICAN_KITCHEN|FURNISHED|ELEVATOR|PARTY_HALL|GATED_COMMUNITY|ELECTRONIC_GATE|CONCIERGE_24H;-22.984356;RENTAL;Zona Sul;False;Apartamento para alugar em;;4.500;3;-43.224242;False;USED;GOOGLE;UNIT;0;False;WCPKQ66O;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;809940c2-d3e9-8031-17a3-73f937cf02cc;/imovel/aluguel-apartamento-4-quartos-mobiliado-leblon-zona-sul-rio-de-janeiro-rj-105m2-id-2632947777/;GRUPOZAP;2632947777;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;5.500;4.500;apartamentos;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False
premium;MAC CONSULTORIA IMOBILIARIA LTDA;87;;Apartamento Mobiliado 4Qts Varanda Floris Bosque-Camorim- Jacarepaguá-RJ;Excelente Apartamento com 04 Quartos com Mobilia.<br>Vista para o Bosque.<br>Quartos com ar split, ventilador de teto, armários planejados, camas e cortinas nos quartos.<br>Sala com sofá , ventilador de teto,cômoda, mesa e estante.<br>Cozinha com armário planejado, fogão e micro-ondas.<br>Área com aquecedor e varal instalado.<br>Entrar e morar.<br>Garantia seguro fiança ou Título de Capitalização.<br>WhatsApp 2 1 9 9 6 2 5 2 7 0 8. Luzes.;2023-05-04T09:24:55.802Z;2023-05-08T12:18:40.863Z;;2;22780070;Estrada de Camorim;Jacarepaguá;205;1;2;4;;125;850;PREMIUM;APARTMENT;;RESIDENTIAL;RECREATION_AREA|TOYS_PLACE|SECURITY_CAMERA|FOOTBALL_FIELD|PET_SPACE|PIZZA_OVEN|CHILDRENS_POOL|BARBECUE_GRILL|GOURMET_SPACE|GARDEN|POOL|PLAYGROUND|SPORTS_COURT|DISABLED_ACCESS|BICYCLES_PLACE|ELEVATOR|SPA|SAUNA|GATED_COMMUNITY|CONCIERGE_24H|ELECTRONIC_GATE|AIR_CONDITIONING|AMERICAN_KITCHEN|FURNISHED;-22.969253;RENTAL;Zona Oeste;False;Apartamento para alugar em;40299-F-RJ;2.000;3;-43.415682;False;USED;GOOGLE;UNIT;0;False;L0008;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;951c6340-f58e-e7f3-5c72-f862170f67b6;/imovel/aluguel-apartamento-4-quartos-mobiliado-jacarepagua-zona-oeste-rio-de-janeiro-rj-87m2-id-2630112657/;GRUPOZAP;2630112657;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;2.850;2.000;apartamentos;True;True;False;True;True;False;False;True;False;False;False;False;False;True;False;True;False
;METHODUS IMOBILIÁRIA;121;121;Apartamento para aluguel com 121 metros quadrados com 4 quartos em Pechincha - Rio de Janeiro - RJ;O apartamento está localizado no bairro Pechincha possui 121 metros quadrados com 4 quartos sendo 2 suites e 4 banheiros<br>Possui academia, espaço gourmet, parquinho com diferentes brinquedos, salão de festas.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina.Churrasqueira para você aproveitar nos momentos de descontração.<br>Está em um condomínio protegido por grades.;2023-05-16T18:23:27.370Z;2023-05-16T18:23:29.192Z;;2;22743051;Estrada Pau-ferro;Pechincha;250;2;4;4;;944;307;STANDARD;APARTMENT;;RESIDENTIAL;GYM|BARBECUE_GRILL|GOURMET_SPACE|POOL|PLAYGROUND|PARTY_HALL|GAMES_ROOM|SAUNA|BICYCLES_PLACE|DISABLED_ACCESS|ELECTRONIC_GATE|CONCIERGE_24H|GATED_COMMUNITY|PETS_ALLOWED|GOURMET_BALCONY;-22.926881;RENTAL;Zona Oeste;False;Apartamento para alugar em;;3.825;7;-43.348507;False;USED;GOOGLE;UNIT;0;False;002210;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;924fc587-066f-1b5e-3ce6-883ca5c2e1c5;/imovel/aluguel-apartamento-4-quartos-com-piscina-pechincha-zona-oeste-rio-de-janeiro-rj-121m2-id-2632733862/;GRUPOZAP;2632733862;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;4.132;3.825;apartamentos;True;True;False;False;True;True;False;False;False;False;False;True;False;False;False;True;False
;BS Imobiliária e Adm Condomínios.;100;;Apartamento para aluguel e venda possui 150 metros quadrados com 4 quartos;BS | BSURANCE IMOBILIÁRIA ALUGA OU VENDE 4 QUARTOS EM ITAIPAVA!<br><br>Excelente apartamento em ITAIPAVA!!<br><br>O condomínio se localiza na União e Industria, com fácil acesso ao Centro de Petrópolis e pra qualquer outro lugar! <br>O apartamento conta com 4 amplos quartos com ar condicionado, cozinha e banheiro com armários embutidos! <br><br>Belíssimo apartamento com finíssimo acabamento!!!<br><br>NÃO PERCA ESSA OPORTUNIDADE! LIGUE E MARQUE UMA VISITA!!! <br>VENHA CONHECER O IMÓVEL QUE PODE VIR A SER O SEU NOVO LAR!<br>CASA NOVA, VIDA NOVA!<br>SISTEMA DE ALUGUEL SEM FIADOR, CONSULTE-NOS!<br>*OS VALORES CORRESPONDENTES A TAXAS E TRIBUTOS, PODEM SOFRER VARIAÇÕES*<br>NÃO ENCONTROU O QUE BUSCAVA? FALE CONOSCO, NOSSO TIME IRÁ ENCONTRAR O IMÓVEL IDEAL PARA VOCÊ!!!;2022-08-26T19:50:37.376Z;2023-05-15T12:23:49.673Z;;1;25730745;Estrada União e Indústria;Itaipava;9270;1;2;4;530.000;750;250;STANDARD;APARTMENT;;RESIDENTIAL;GATED_COMMUNITY|ELECTRONIC_GATE|CONCIERGE_24H|PARTY_HALL|POOL|BUILTIN_WARDROBE|AIR_CONDITIONING;-22.408709;SALE_RENTAL;Bairros;False;Apartamento para comprar e alugar em;;530.000;2;-43.137143;False;USED;GOOGLE;UNIT;0;False;AP5094;True;Rio de Janeiro;RANGE_INTERPOLATED;True;;Comprar/Alugar;BR;STREET;14848ac6-70cb-9e82-4530-dbeb734d8a40;/imovel/venda-apartamento-4-quartos-com-piscina-itaipava-petropolis-rj-100m2-id-2577779307/;GRUPOZAP;2577779307;SALE;ALL;Petrópolis;VALID_STREET;mês;4.050;3.800;apartamentos;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False
premium;Mauricio Brandao;156;;Apartamento para aluguel tem 156 metros quadrados com 4 quartos;Apartamento em excelente localização com exclusividade e lazer no bosque doa lagunas. Cond. Scena Laguna, lamina, 3 suites, 1 escritório, projeto de arquitetura, cabeado para rede e sistema de CFTV. Recém pintado e com móveis com projeto de marcenaria. Área de serviço e dependências. Cozinha com coifa, geladeira e fogão. Total de 07 Splits, inclusive na varanda gourmet. Varanda da suite preparada para pequeno escritório. Apartamento totalmente telado e com rede de proteção. Duas vagas na garagem, sendo 1 coberta e 1 descoberta.;2023-05-14T20:10:06.907Z;2023-05-14T20:29:59.508Z;;2;22793105;Rua Coronel Aviador Antônio Arthur Braga;Barra da Tijuca;50;3;4;4;;600;2.300;PREMIUM;APARTMENT;;RESIDENTIAL;PETS_ALLOWED|AIR_CONDITIONING|AMERICAN_KITCHEN|GOURMET_BALCONY|GYM|BARBECUE_GRILL|CINEMA|GOURMET_SPACE|GARDEN|POOL|PLAYGROUND|TENNIS_COURT|SPORTS_COURT|PARTY_HALL|GAMES_ROOM|DISABLED_ACCESS|BICYCLES_PLACE|ELEVATOR|SAUNA|SPA|GATED_COMMUNITY|ELECTRONIC_GATE|CONCIERGE_24H;-23.000371;RENTAL;Zona Oeste;False;Apartamento para alugar em;;8.500;0;-43.365895;False;USED;GOOGLE;UNIT;0;False;NBFH4V6B;True;Rio de Janeiro;APPROXIMATE;False;;Alugar;BR;NEIGHBORHOOD;6555775e-c3b6-571d-9918-c9e579587755;/imovel/aluguel-apartamento-4-quartos-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-156m2-id-2632341858/;GRUPOZAP;2632341858;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;10.800;8.500;apartamentos;True;True;False;True;True;True;True;True;False;False;False;True;False;False;False;True;False
premium;KONA  - Imóveis;178;;Cobertura Duplex de Luxo no Condomínio;Em busca de uma cobertura deslumbrante e luxuosa na região do Recreio dos Bandeirantes? Temos o imóvel perfeito para você! Apresentamos esta incrível cobertura duplex, totalmente reformada e repleta de características exclusivas, para oferecer o máximo de conforto e sofisticação.<br><br>Quartos Espaçosos: Com 4 quartos bem distribuídos, essa cobertura proporciona amplo espaço para sua família. Entre eles, destacam-se duas suítes elegantes e uma suíte master, com um espaçoso closet para acomodar suas roupas e acessórios com facilidade.<br><br>Banheiros Modernos: Os banheiros foram cuidadosamente reformados, incorporando elementos de design contemporâneo e proporcionando uma experiência de luxo.<br><br>Cobertura Reformada: A cobertura passou por uma reforma completa, resultando em um ambiente moderno, sofisticado e atualizado. Cada detalhe foi pensado para criar uma atmosfera elegante.<br><br>Jacuzzi Privativa: Relaxe e aproveite momentos de puro prazer em uma jacuzzi privativa, onde você pode desfrutar de momentos de relaxamento e cuidado pessoal.<br><br>Armários Planejados: Todos os cômodos foram equipados com armários planejados de alta qualidade, proporcionando amplo espaço de armazenamento e organização.<br><br>Aparelhos de Ar-Condicionado: A cobertura possui aparelhos de ar-condicionado, garantindo um ambiente fresco e agradável em qualquer estação do ano.<br><br>Varanda com Cortina de Vidro: A varanda é um espaço aconchegante, que permite desfrutar de uma vista deslumbrante da cidade. A cortina de vidro oferece flexibilidade para adaptar o ambiente às suas preferências.<br><br>Churrasqueira Privativa: Com uma churrasqueira privativa, você pode reunir amigos e familiares para desfrutar de momentos especiais e deliciosas refeições ao ar livre.<br><br>Condomínio Barra Village Lakes: Localizado em um condomínio exclusivo, você terá acesso a uma variedade de comodidades, incluindo academia, brinquedoteca, área gourmet e muito mais. Desfrute de um estilo de vida confortável e requintado.<br><br>Localização Privilegiada: Próximo à Avenida das Américas e ao lado do Américas Shopping, você terá acesso fácil a uma ampla gama de serviços, entretenimento, lojas e restaurantes.<br><br>Essa cobertura duplex de luxo é uma oportunidade única de viver em um espaço sofisticado, confortável e totalmente renovado. Não perca a chance de adquirir esse verdadeiro refúgio de requinte no Recreio dos Bandeirantes.;2023-05-13T22:06:31.949Z;2023-05-13T22:06:50.457Z;;2;22790667;Rua Servidão D;Recreio Dos Bandeirantes;75;2;3;4;1.600.000;400;1.500;PREMIUM;APARTMENT;DUPLEX;RESIDENTIAL;GYM|BARBECUE_GRILL|GOURMET_SPACE|GARDEN|POOL|PLAYGROUND|SPORTS_COURT|PARTY_HALL|GAMES_ROOM|GATED_COMMUNITY|ELECTRONIC_GATE|CONCIERGE_24H|PETS_ALLOWED|AIR_CONDITIONING|CLOSET|FURNISHED|GOURMET_BALCONY;-23.007725;SALE_RENTAL;Zona Oeste;False;Duplex para comprar e alugar em;;1.600.000;0;-43.462711;False;USED;GOOGLE;UNIT;0;False;1C20IQO;True;Rio de Janeiro;ROOFTOP;True;;Comprar/Alugar;BR;STREET;200c90d8-386a-a98a-38b4-71dff2aac26d;/imovel/venda-apartamento-4-quartos-mobiliado-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-178m2-id-2632179733/;GRUPOZAP;2632179733;SALE;ALL;Rio de Janeiro;VALID_STREET;mês;9.500;8.000;apartamentos;True;False;False;True;True;True;False;True;False;False;False;True;False;True;False;True;False
;Klaus Heil;120;;Apartamento para aluguel possui 120 metros quadrados com 4 quartos;O apartamento está localizado no bairro Vargem Grande com 120 metros quadrados com 4 quartos e 5 banheiros;2023-05-16T13:07:11.139Z;2023-05-16T13:07:31.645Z;;;22783210;Estrada do Rio Morto;Vargem Grande;1000;;5;4;;;;STANDARD;APARTMENT;;RESIDENTIAL;;-22.99416;RENTAL;Zona Oeste;False;Apartamento para alugar em;;1.800;0;-43.495056;False;USED;GOOGLE;UNIT;0;False;08;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;44228edf-b983-f807-ac79-b147b801d3d0;/imovel/aluguel-apartamento-4-quartos-vargem-grande-zona-oeste-rio-de-janeiro-rj-120m2-id-2632666117/;GRUPOZAP;2632666117;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;;1.800;apartamentos;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
