type;account.name;listing.usableAreas;listing.totalAreas;listing.title;listing.description;listing.createdAt;listing.updatedAt;listing.floors;listing.parkingSpaces;listing.address.zipCode;listing.address.street;listing.address.neighborhood;listing.address.streetNumber;listing.suites;listing.bathrooms;listing.bedrooms;listing.pricingInfo.yearlyIptu;listing.pricingInfo.monthlyCondoFee;listing.publicationType;listing.unitTypes;listing.unitSubTypes;listing.usageTypes;listing.amenities;listing.address.point.lat;listing.pricingInfo.businessType;listing.address.zone;listing.acceptExchange;listing.subtitle;account.licenseNumber;listing.pricingInfo.price;listing.unitFloor;listing.address.point.lon;listing.preview;listing.listingType;listing.address.point.source;listing.propertyType;listing.unitsOnTheFloor;listing.isInactive;listing.externalId;listing.pricingInfo.isRent;listing.address.state;listing.address.precision;listing.pricingInfo.isSale;listing.legacyId;listing.pricingInfo.businessLabel;listing.address.country;listing.address.level;listing.advertiserId;listing.link;listing.portal;listing.id;listing.businessTypeContext;listing.displayAddressType;listing.address.city;listing.address.confidence;listing.pricingInfo.period;listing.pricingInfo.rentalTotalPrice;listing.pricingInfo.rentalPrice;imvl_type;listing.pool;listing.sauna;listing.backyard;listing.garden;listing.barbgrill;listing.partyhall;listing.tenniscourt;listing.sportcourt;listing.bathtub;listing.soundproofing;listing.fireplace;listing.gym;listing.hottub;listing.furnished;listing.guestpark;listing.playground;listing.mountainview;listing.pricingInfo.salePrice
superPremium;CONFIANCA ASSESSORIA IMOBILIARIA;45;45;Casa com 1 dormitório para alugar, 45 m² por 992,00/mês - Campo Grande - Rio de Janeiro/RJ;CA2086. Excelente casa para alugar a 3 minutos do Centro de Campo Grande, próximo a ótimos restaurantes, farmácias, colégios, Hospital Rocha Faria e Oeste Dor. Composta por: 01 dormitório, sala, cozinha, área de serviço e banheiro.<br>Obs.: Condomínio fechado com portão eletrônico (sem custo).<br><br>Agende sua visita!!<br><br><br>Faça seu negócio imobiliário com quem tem mais de 15 anos de atuação e tradição no mercado local.<br><br>Somos especialistas em Compra, Venda, Locação, Administração e Legalização de Documentação, em negócios imobiliários.<br>Estamos aguardando seu contato.<br><br><br>Att.<br>Confiança Assessoria Imobiliária! -;2022-11-24T16:30:53.429Z;2023-05-25T05:55:46.646Z;;0;23045000;;Campo Grande;;0;1;1;42;;SUPER_PREMIUM;HOME;;RESIDENTIAL;KITCHEN|SERVICE_AREA;;RENTAL;Zona Oeste;False;Casa para alugar em;005874-J-RJ;950;0;;False;USED;;UNIT;0;False;CA2086;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;2d827001-ad62-b741-876b-1f8658aec2e2;/imovel/aluguel-casa-1-quarto-com-cozinha-campo-grande-zona-oeste-rio-de-janeiro-rj-45m2-id-2595122160/;GRUPOZAP;2595122160;RENTAL;NEIGHBORHOOD;Rio de Janeiro;VALID_STREET;mês;;950;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;
superPremium;TOWN IMOVEIS;45;300;Casa com 1 dormitório para alugar, 45 m² por 1.570,00/mês - Engenho do Mato - Niterói/RJ;Saindo um pouco da movimentada Francisco da cruz nunes você vai encontrar um local sossegado chamado Engenho do Mato situado em Itaipu, se você procura um cantinho de Paz leia o anúncio até o final.<br>Essa Casa traz uma proposta bem interessante, sala, cozinha americana, banheiro social, 1 quarto, área de serviço e um quintal espaçoso, uma área de aproximadamente 300M² livre, canil, e o melhor disso tudo é que você pode usar da maneira que quiser, espaço para colocar até 5 carros.<br>Se você é apaixonado por animais tem espaço de sobra para os seus bichinhos.<br><br>Atenção: A casa será pintada. -;2023-05-12T02:55:23.088Z;2023-05-24T05:35:01.026Z;;5;24344583;Rua Historiador Júlio Xavier de Figueiredo;Engenho do Mato;225;0;1;1;70;;SUPER_PREMIUM;HOME;;RESIDENTIAL;KITCHEN|CABLE_TV|BACKYARD|SERVICE_AREA;-22.939364;RENTAL;Bairros;False;Casa para alugar em;06929-J-RJ;1.500;0;-43.019585;False;USED;GOOGLE;UNIT;0;False;CA0808;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;90359861-02d8-781d-62be-6094eb662207;/imovel/aluguel-casa-1-quarto-com-cozinha-engenho-do-mato-niteroi-rj-45m2-id-2631814274/;GRUPOZAP;2631814274;RENTAL;ALL;Niterói;VALID_STREET;mês;;1.500;casas;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;
superPremium;Daher Imóveis;40;40;Daher Aluga: Casa de Vila 1 Qto, na Penha - Cód CDQ 281;Daher Aluga: Casa de Vila 1 Qto, na Penha - Cód CDQ 281<br><br>O imóvel é composto de 1 Quarto, Sala, Cozinha, Banheiro, Área de Serviço, Varanda<br><br>A localização dele é excelente, pois está situado na Rua Luísa Figueiredo nº 118, à 12 minutos de carro para o Guanabara da Rua Brás de Pina, à 8 minutos à pé para a Estação de Trem da Penha, à 5 minutos de carro para um dos acessos à Avenida Brasil, além de outras facilidades para o seu dia a dia.<br><br>O seu consumo de água é rateado pela vila, a luz deverá ser paga diretamente à concessionária pois é totalmente individualizado, já o gás é por botijão.<br><br>Só mais uma informação, como garantia locatícia para esse imóvel aceitamos apenas Depósito.<br><br>Não perca tempo e entre em contato conosco agora mesmo para obter maiores informações sobre esse imóvel e agenda sua visita, através do nosso WhatsApp informando o código desse imóvel (CDQ 280).<br><br>Pensou em Imóvel? Venha ser Feliz! Venha para Daher!<br><br>Atenção: Possuímos rigorosa política de atualização de preços dos nossos imóveis. No entanto eles estão sujeitos a alteração, sem aviso prévio, por parte dos respectivos proprietários. -;2023-05-20T20:59:17.144Z;2023-05-25T09:04:56.752Z;;0;21020300;Rua Luísa Figueiredo;Penha;118;0;1;1;;;SUPER_PREMIUM;HOME;;RESIDENTIAL;KITCHEN|SERVICE_AREA;-22.835654;RENTAL;Zona Norte;False;Casa para alugar em;025314-F-RJ;800;0;-43.274946;False;USED;GOOGLE;UNIT;0;False;CA0063;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;6e4e70a0-1874-72a2-8c8a-f0c5661a2e0d;/imovel/aluguel-casa-1-quarto-com-cozinha-penha-zona-norte-rio-de-janeiro-rj-40m2-id-2633617884/;GRUPOZAP;2633617884;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;;800;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;
premium;APSA;48;48;;EXCELENTE APARTAMENTO , CLARO, AREJADO, TOTAL DE 48M2. PRÓXIMO AO LARGO DA ABOLIÇÃO. COMPOSTO POR VARANDA, SALA, 1 DORMITÓRIO, BANHEIRO SUÍTE, COZINHA, ÁREA DE SERVIÇO, ÁREA EXTERNA COMUM AOS MORADORES, DIREITO A 1 VAGA PARA ESTACIONAR. ALUGANDO SEU IMÓVEL COM A APSA, VOCÊ GANHA UM SUPER DESCONTO EM SUA MUDANÇA. *VÁLIDO SOMENTE COM EMPRESAS PARCEIRAS*. ]]>;2023-05-23T18:22:00.685Z;2023-05-24T18:23:32.889Z;;1;20750000;Rua Ferreira Leite;Abolição;101;0;1;1;170;;PREMIUM;HOME;;RESIDENTIAL;GARAGE;-22.884271;RENTAL;Zona Norte;False;Casa para alugar em;00253-J-RJ;700;0;-43.298996;False;USED;GOOGLE;UNIT;0;False;28886;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;247edb33-e22d-bb8f-c4aa-4ecc6d387e4e;/imovel/aluguel-casa-1-quarto-abolicao-zona-norte-rio-de-janeiro-rj-48m2-id-2634256778/;GRUPOZAP;2634256778;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;;700;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;
;GUSTAVO CANUTO RAPOSO;45;45;Penha: 750,00 casa ampla 1 qto + vaga garagem.;Penha: 750,00<br>Alugo casa com 1 qto, sala, cozinha e banheiro. Vaga para 1 carro.<br>Av. CAMÕES, 44, fundos.<br>Aluguel: 750,00<br>Água e esgoto: 90,00 * valor estimado.;2023-05-22T22:01:12.134Z;2023-05-22T22:01:16.583Z;;1;21011510;Avenida Camões;Penha Circular;44;0;1;1;;;STANDARD;HOME;;RESIDENTIAL;;-22.832339;RENTAL;Zona Norte;False;Casa para alugar em;45855-F-RJ;750;1;-43.284149;False;USED;GOOGLE;UNIT;0;False;6862B7;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;87b46442-9338-b698-b818-5d3c4848190c;/imovel/aluguel-casa-1-quarto-penha-circular-zona-norte-rio-de-janeiro-rj-45m2-id-2634004900/;GRUPOZAP;2634004900;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;;750;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;
;Jofre Administração de Imóveis - LTDA ME;80;;Rua José Bernardino, nº21, Turf Club;Rua José Bernardino, nº21, Turf Club<br><br>1 quarto, sala, cozinha, banheiro, área de serviço, quintal extenso.<br><br>R$800,00 incluso IPTU;2023-05-23T16:47:06.626Z;2023-05-23T16:47:11.990Z;;;28024120;Rua José Bernardino;Parque Turf Club;21;;1;1;;;STANDARD;HOME;;RESIDENTIAL;;-21.769185;RENTAL;Bairros;False;Casa para alugar em;;800;0;-41.309489;False;USED;GOOGLE;UNIT;0;False;IJ4E8N;True;Rio de Janeiro;APPROXIMATE;False;;Alugar;BR;STREET;6903f7f4-2e9d-b5fd-6e89-48ea511469ba;/imovel/aluguel-casa-1-quarto-parque-turf-club-campos-dos-goytacazes-rj-80m2-id-2634246413/;GRUPOZAP;2634246413;RENTAL;ALL;Campos dos Goytacazes;VALID_STREET;mês;;800;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;
;Santos Gonçalves Administ. de Imóveis Ltda;87;87;Casa no Sacramento - 01 Quarto - Garagem - São Gonçalo - RJ.;Casa no Sacramento. Com área 87 m². Terreno com 2 casas com uma entrada só. (só aluga as 2 casas junto). Ambas é composto de 1 quarto sala, cozinha, banheiro, área de serviço e garagem. Condomínio Villa Real. Próximo de escolas (C. E. Eliza Dutra), supermercados (Rede Economia), restaurantes, farmácias e condução. Obs.: Verificar taxas atuais junto á administração. Mais informações nos telefones / / (WhatsApp). -;2023-05-23T03:37:51.642Z;2023-05-23T03:37:53.523Z;;0;24734315;Rua Domício Porto Filho;Sacramento;;0;1;1;99;;STANDARD;HOME;;RESIDENTIAL;KITCHEN|BACKYARD|SERVICE_AREA;;RENTAL;Bairros;False;Casa para alugar em;003537-J-RJ;1.200;0;;False;USED;;UNIT;0;False;CA0198;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;77232d3a-4661-1091-e249-f9537af4977c;/imovel/aluguel-casa-1-quarto-com-cozinha-sacramento-sao-goncalo-rj-87m2-id-2634107962/;GRUPOZAP;2634107962;RENTAL;STREET;São Gonçalo;VALID_STREET;mês;;1.200;casas;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;
;Agostinho Corretor de Imóveis;100;;Alugo casa na Estrada do Rio Morto, Recreio dos Bandeirantes.;A casa está localizada no bairro Recreio dos Bandeirantes com 100 metros quadrados, com 1 quarto sendo 1 suite e 2 banheiros<br>Vai lhe possibilitar todo o conforto do ar condicionado nos dias mais quentes.Está em um condomínio protegido por grades.;2023-04-04T19:00:57.889Z;2023-04-04T19:01:26.654Z;;2;22790879;Estrada Vereador Alceu de Carvalho;Recreio Dos Bandeirantes;2865;1;2;1;;520;STANDARD;HOME;;RESIDENTIAL;GATED_COMMUNITY|ELECTRONIC_GATE|CONCIERGE_24H|AIR_CONDITIONING;-23.005431;RENTAL;Zona Oeste;False;Casa para alugar em;30891-F-RJ;1.600;0;-43.493261;False;USED;GOOGLE;UNIT;0;False;1OGUOVP;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;c820f927-a902-90e5-94ef-ec3ad6b67712;/imovel/aluguel-casa-1-quarto-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-100m2-id-2622822214/;GRUPOZAP;2622822214;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;2.120;1.600;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;
;S.L. Administração de Imóveis;50;;Casa de 1 quarto em Gradim - São Gonçalo;Alugo casa na Rua Wilson Costa de 1 quarto, sala, cozinha, banheiro e área.;2022-06-30T12:32:04.194Z;2023-05-23T12:29:23.152Z;;0;24431600;Rua Wilson Costa;Gradim;213;0;1;1;50;;STANDARD;HOME;;RESIDENTIAL;;-22.826121;RENTAL;Bairros;False;Casa para alugar em;;650;0;-43.078495;False;USED;GOOGLE;UNIT;0;False;GRADIM 1;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;NEIGHBORHOOD;d71f12af-bf2a-81a9-6ef5-92cc44c4106d;/imovel/aluguel-casa-1-quarto-gradim-sao-goncalo-rj-50m2-id-2569478428/;GRUPOZAP;2569478428;RENTAL;ALL;São Gonçalo;VALID_STREET;mês;;650;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;
;Placar Imobiliária LTDA;55;55;Casa para locação;Casa para locação. <br> <br>1 quarto, sala, cozinha, banheiro, área de serviço e terraço. <br> <br> <br> <br> <br><br>Código do Anúncio: 5263_477291;2023-05-23T06:07:50.657Z;2023-05-24T18:09:27.979Z;;;25065142;Rua Silva Jardim;Vila São Luis;;;1;1;;;STANDARD;HOME;;RESIDENTIAL;;-22.775783;RENTAL;Bairros;False;Casa para alugar em;02305-J-RJ;850;0;-43.292566;False;USED;GOOGLE;UNIT;0;False;477291;True;Rio de Janeiro;GEOMETRIC_CENTER;False;;Alugar;BR;STREET;f16c70b0-2022-93c8-ecbf-6fdd352b92fb;/imovel/aluguel-casa-1-quarto-vila-sao-luis-duque-de-caxias-rj-55m2-id-2634136371/;GRUPOZAP;2634136371;RENTAL;ALL;Duque de Caxias;VALID_STREET;mês;;850;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;
