type;account.name;listing.usableAreas;listing.totalAreas;listing.title;listing.description;listing.createdAt;listing.updatedAt;listing.floors;listing.parkingSpaces;listing.address.zipCode;listing.address.street;listing.address.neighborhood;listing.address.streetNumber;listing.suites;listing.bathrooms;listing.bedrooms;listing.pricingInfo.salePrice;listing.pricingInfo.yearlyIptu;listing.pricingInfo.monthlyCondoFee;listing.publicationType;listing.unitTypes;listing.unitSubTypes;listing.usageTypes;listing.amenities;listing.address.point.lat;listing.pricingInfo.businessType;listing.address.zone;listing.acceptExchange;listing.subtitle;account.licenseNumber;listing.pricingInfo.price;listing.unitFloor;listing.address.point.lon;listing.preview;listing.listingType;listing.address.point.source;listing.propertyType;listing.unitsOnTheFloor;listing.isInactive;listing.externalId;listing.pricingInfo.isRent;listing.address.state;listing.address.precision;listing.pricingInfo.isSale;listing.legacyId;listing.pricingInfo.businessLabel;listing.address.country;listing.address.level;listing.advertiserId;listing.link;listing.portal;listing.id;listing.businessTypeContext;listing.displayAddressType;listing.address.city;listing.address.confidence;listing.pricingInfo.period;listing.pricingInfo.rentalTotalPrice;listing.pricingInfo.rentalPrice;imvl_type;listing.pool;listing.sauna;listing.backyard;listing.garden;listing.barbgrill;listing.partyhall;listing.tenniscourt;listing.sportcourt;listing.bathtub;listing.soundproofing;listing.fireplace;listing.gym;listing.hottub;listing.furnished;listing.guestpark;listing.playground;listing.mountainview
superPremium;Imobiliária Ideal de Nilópolis;60;60;Nilópolis - Casa 2q e garagem no Centro;Em Nilópolis. Excelente casa de primeira locação, tudo novinho em condomínio fechado , com 2 quartos , sala, cozinha, banheiro. Próximo no centro de Nilópolis, em frente ao passarela do mercado Assai. Facilidade de acesso a transportes, e ao centro do Rio e municípios vizinhos.<br>Aproveite essa oportunidade.<br>Agende sua visita agora mesmo 9 8 0 3 3 - 4 8 0 8. <br>Imobiliária Ideal de Nilópolis - CRECI -8244;2023-03-31T18:21:15.518Z;2023-05-13T13:50:46.614Z;;1;26530020;Avenida Carmela Dutra;Centro;2174;0;2;2;;60;50;SUPER_PREMIUM;HOME;;RESIDENTIAL;;-22.804388;RENTAL;Bairros;False;Casa para alugar em;;1.300;0;-43.417724;False;USED;GOOGLE;UNIT;0;False;IDA 109;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;4a67ed1c-5713-b416-a9f9-1d97fe8fac9b;/imovel/aluguel-casa-2-quartos-centro-nilopolis-rj-60m2-id-2622034814/;GRUPOZAP;2622034814;RENTAL;ALL;Nilópolis;VALID_STREET;mês;1.350;1.300;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
superPremium;PATRICK GOMES;200;200;Linda casa a uma rua da praia Saquarema - RJ !!!;Linda casa colonial ,uma rua da praia, localizada em Saquarema ( Barra Nova) , fica a uma rua da praia, em rua muito tranquila sem saída na quadra do asfalto e lagoa, só atravessar a quadra e mergulhar na maravilhosa praia azul, com ônibus na quadra para o Rio de Janeiro etc. Comércio próximo. Casa composta de dois quartos, sala, cozinha ,banheiro em granito , varanda, amplo quintal plano, gramado ,área de serviço coberta, quintal na frente e nos fundos, estacionamento para carro, sistema de captação e tratamento de água ou seja muita economia com água. Imóvel bem arejado com sol da manhã conforme fotos. Fica próximo a colégio e CBV ( Confederação Brasileira de Voleibol). Três meses de depósito caução, contrato de dois anos, IPTU e Foro já inclusos no valor do Aluguel ( ou seja não precisa pagar IPTU nem Foro).<br>Contato: Patrick;2023-05-24T15:43:05.555Z;2023-05-24T15:43:36.263Z;;1;28990124;Rua C;Barra Nova;2;;1;2;;;;SUPER_PREMIUM;HOME;;RESIDENTIAL;FRUIT_TREES|SECURITY_CAMERA|SAFETY_CIRCUIT|DISABLED_ACCESS|PARKING|GARDEN|NEAR_ACCESS_ROADS|NEAR_SCHOOL|NEAR_HOSPITAL|NEAR_PUBLIC_TRANSPORT|BALCONY|INTERNET_ACCESS|SERVICE_AREA|BLINDEX_BOX|BACKYARD|CABLE_TV|PANORAMIC_VIEW|LAKE_VIEW|LAND|PETS_ALLOWED|GOURMET_BALCONY;-22.92925;RENTAL;Bairros;False;Casa para alugar em;316010-F-RJ;1.350;0;-42.577388;False;USED;GOOGLE;UNIT;0;False;D1F463;True;Rio de Janeiro;RANGE_INTERPOLATED;False;;Alugar;BR;STREET;8d070723-d9fd-f504-9493-5d7a5ec0aa77;/imovel/aluguel-casa-2-quartos-barra-nova-saquarema-rj-200m2-id-2634467764/;GRUPOZAP;2634467764;RENTAL;ALL;Saquarema;VALID_STREET;mês;;1.350;casas;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False
superPremium;SAMPAIO IMOVEIS;40;40;Campo Grande | Casa 2 quartos;"*CASA DE VILA*<br><br>Rua Rosa de Carvalho, 05 Casa 05 (Fundos)<br><br>// 02 Quartos, Sala, Cozinha, Banheiro, Área de serviço e Varanda. Não há vaga de garagem.<br><br>// ALUGUEL: 470,00 + Encargos<br>// IPTU: 49,40 (Cota 2023)<br>// ÁGUA: Consumo<br>// LIGHT: Consumo<br><br>_Entrada compartilhada_<br><br>//REFERÊNCIA: Próximo ao Teatro Artur Azevedo e a Paróquia Bom Pastor<br><br>(FIADOR - SEGURO FIANCcedil;A - PORTOCAP)<br><br>Fale conosco através do WhatsApp ou Telefone 067f6";2022-08-23T22:16:21.282Z;2023-05-25T06:59:10.941Z;;0;23080140;Rua Rosa de Carvalho;Campo Grande;05;;1;2;;;;SUPER_PREMIUM;HOME;;RESIDENTIAL;;-22.897258;RENTAL;Zona Oeste;False;Casa para alugar em;002318-J-RJ;470;0;-43.563625;False;USED;GOOGLE;UNIT;0;False;S2CS6970;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;464eb492-7a69-df87-a80b-ae14371dc44c;/imovel/aluguel-casa-2-quartos-campo-grande-zona-oeste-rio-de-janeiro-rj-40m2-id-2577352141/;GRUPOZAP;2577352141;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;;470;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;SINAI EMPREENDIMENTOS IMOBILIARIOS LTDA - ME;67;67;CASA 3 QUARTOS-CORDOVIL;A Sinai tem o prazer de apresentar uma excelente oportunidade de aluguel em Cordovil! Temos uma casa espaçosa disponível para locação, perfeita para quem busca conforto e praticidade.<br><br>Características do imóvel:<br><br>Sala ampla, ideal para receber amigos e familiares.<br>3 quartos aconchegantes, oferecendo espaço e privacidade para todos.<br>Cozinha funcional, permitindo a preparação de deliciosas refeições.<br>Banheiro completo, com comodidades modernas.<br>Área externa para desfrutar de momentos ao ar livre.<br><br>Localização privilegiada: Próximo à Praça do Cimento Branco. Desfrute da tranquilidade de Cordovil com fácil acesso a serviços, comércios e transporte público.<br><br>Formas de locação:<br><br>FIADOR, SEGURO EMPRESARIAL OU SEGURO FIANÇA <br><br>Não perca tempo! Essa é uma oportunidade única de morar em um imóvel confortável e bem localizado. Entre em contato conosco agora mesmo para agendar uma visita ou obter mais informações.<br><br>Observação Importante: Os valores de Condomínio, IPTU, água e esgoto e qualquer outra taxa são estimados e podem sofrer reajuste após a locação. O valor do aluguel não está incluso as taxas. Informações reduzidas, regras de acordo com o contrato de locação. Ressalvamos possíveis erros de datilografia. Devido a alta rotatividade da locação, alguns imóveis já podem ter sido alugados ou já estarem em processo de fechamento de contrato. As locações são fechadas seguindo a ordem de chegada das fichas-propostas. A visitação ao imóvel não garante reserva do seu imóvel.;2023-05-23T22:34:06.439Z;2023-05-24T22:35:42.295Z;;;21012048;Beco Cordovil;Cordovil;1577;;1;2;;;;STANDARD;HOME;;RESIDENTIAL;SERVICE_AREA;-22.824934;RENTAL;Zona Norte;False;Casa para alugar em;01267-J-RJ;990;0;-43.311267;False;USED;GOOGLE;UNIT;0;False;238;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;7b36302c-ab79-8b17-df10-82e311c42dbb;/imovel/aluguel-casa-2-quartos-com-area-de-servico-cordovil-zona-norte-rio-de-janeiro-rj-67m2-id-2634288680/;GRUPOZAP;2634288680;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;;990;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;LM corretores de imoveis;80;;Casa para aluguel possui 80 m2, com 2 quartos;Alugo casa no Alto da Serra, Rua Lopes Trovão 630, composta de sala com estante de madeira, varanda, 2 quartos sendo 1 suíte com armário embutido, cozinha, banheiro, área, local para 1 carro.<br>1.500,00<br>Tratar: LM Corretores de Imóveis. <br>Rua Irmãos Dangelo 51 loja 04, Centro, Petrópolis.;2023-05-23T19:55:06.234Z;2023-05-23T19:55:09.758Z;;1;25635111;Rua Lopes Trovão;Alto da Serra;630;1;2;2;;;;STANDARD;HOME;;RESIDENTIAL;;-22.533961;RENTAL;Bairros;False;Casa para alugar em;;1.500;1;-43.172881;False;USED;GOOGLE;UNIT;0;False;91C532;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;0451e1f4-eb0c-1bb2-5ae0-327fcbdcd806;/imovel/aluguel-casa-2-quartos-alto-da-serra-petropolis-rj-80m2-id-2634268407/;GRUPOZAP;2634268407;RENTAL;ALL;Petrópolis;VALID_STREET;mês;;1.500;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;SINAI EMPREENDIMENTOS IMOBILIARIOS LTDA - ME;55;55;CASA 2 QUARTOS -IRAJA;A Sinai tem o prazer de apresentar um excelente casa disponível para locação na Rua João Machado. Esta espaçoso casa oferece conforto e comodidade em um dos melhores bairros da região.<br><br>Características do imóvel:<br><br>Sala espaçosa, perfeita para criar um ambiente acolhedor.<br>2 quartos aconchegantes, proporcionando privacidade e espaço para toda a família.<br>Cozinha funcional, permitindo preparar refeições com facilidade.<br>Banheiro completo, com comodidades modernas.<br>área de serviço <br><br>Localizado na Rua Joao Machado, próximo ao upa de Irajá<br><br>Formas de locação:<br><br>SEGURO FIANÇA, SEGURO EMPRESARIAL OU FIADOR<br><br>Observação Importante: Os valores de condomínio, IPTU, água, esgoto e outras taxas são estimados e podem sofrer reajustes após a locação. O valor do aluguel não inclui essas taxas. As informações são resumidas e sujeitas às regras do contrato de locação. Ressaltamos possíveis erros de digitação. Devido à alta rotatividade na locação, alguns imóveis podem já ter sido alugados ou estarem em processo de fechamento de contrato. As locações são fechadas por ordem de chegada das fichas-propostas. A visitação ao imóvel não garante a reserva do mesmo.<br><br>Não perca essa oportunidade! Entre em contato conosco agora mesmo para agendar uma visita ou obter mais informações.;2023-05-23T22:34:02.180Z;2023-05-24T22:35:29.590Z;;;21361490;Rua João Machado;Irajá;263;;2;2;;;;STANDARD;HOME;;RESIDENTIAL;SERVICE_AREA;-22.847166;RENTAL;Zona Norte;False;Casa para alugar em;01267-J-RJ;1.000;0;-43.3276;False;USED;GOOGLE;UNIT;0;False;1298;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;7b36302c-ab79-8b17-df10-82e311c42dbb;/imovel/aluguel-casa-2-quartos-com-area-de-servico-iraja-zona-norte-rio-de-janeiro-rj-55m2-id-2634288620/;GRUPOZAP;2634288620;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;;1.000;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;Jofre Administração de Imóveis - LTDA ME;85;;Rua Antônio Aurélio Bessa, 54, Jardim Carioca;Rua Antônio Aurélio Bessa, 54, Jardim Carioca.<br>2 quartos, sala, cozinha, banheiro social, área de serviço, quintal nos fundos, 1 vaga de garagem coberta.<br>R$850,00<br>.<br> /;2023-05-23T16:55:50.134Z;2023-05-23T16:55:56.561Z;;;28080490;Rua Antônio Aurélio Bessa;Parque Jardim Carioca;54;;1;2;;;;STANDARD;HOME;;RESIDENTIAL;;-21.744563;RENTAL;Bairros;False;Casa para alugar em;;850;0;-41.325711;False;USED;GOOGLE;UNIT;0;False;1IAFHN9;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;6903f7f4-2e9d-b5fd-6e89-48ea511469ba;/imovel/aluguel-casa-2-quartos-parque-jardim-carioca-campos-dos-goytacazes-rj-85m2-id-2634247756/;GRUPOZAP;2634247756;RENTAL;ALL;Campos dos Goytacazes;VALID_STREET;mês;;850;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;Maria I. Silva;70;;Casa em Praia Linda em ótima localizacao;Praia Linda- São Pedro da Aldeia<br>Alugo casa com sala, 2 quartos, cozinha, banheiro, área de serviço, garagem e quintal grande. Excelente localização perto da Lagoa e do comércio.<br>Aluguel 900,00 com depósito.;2023-05-23T13:26:17.300Z;2023-05-23T13:37:03.782Z;;1;28949828;Avenida Maria Dulce;Praia Linda;11;;1;2;;;;STANDARD;HOME;;RESIDENTIAL;;-22.843194;RENTAL;Bairros;False;Casa para alugar em;69133-F-RJ;900;0;-42.166693;False;USED;GOOGLE;UNIT;0;False;PRAIALINDA11;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;3ed5c8d3-5c4f-e8e8-a14f-73860da092e3;/imovel/aluguel-casa-2-quartos-praia-linda-sao-pedro-da-aldeia-rj-70m2-id-2634218280/;GRUPOZAP;2634218280;RENTAL;ALL;São Pedro da Aldeia;VALID_STREET;mês;;900;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;QuintoAndar Aluguel;80;80;Casa para Aluguel - Heliópolis, 2 Quartos, 80 m2;Casa para Aluguel - Heliópolis, 2 Quartos, 80 m2. Sobre o imóvel: <br><br>Valores:<br>- Aluguel: 1260<br>- Condomínio: 0<br>- IPTU: 19<br><br>Que tal agendar uma visita?<br>Entre em contato pelo formulário. Você receberá uma mensagem por e-mail e WhatsApp com os próximos passos.<br><br>Seu imóvel sem burocracia<br>O QuintoAndar revolucionou o jeito de alugar e comprar imóveis: rápido, fácil, online, sem fiador e o melhor, sem burocracia. Conheça esse e outros imóveis no site do QuintoAndar. CRECI-RJ J7575;2023-05-23T13:34:45.864Z;2023-05-23T13:34:47.033Z;;0;26120020;Rua Lisboa;Heliópolis;;0;2;2;;19;;STANDARD;HOME;;RESIDENTIAL;GOURMET_BALCONY;;RENTAL;Bairros;False;Casa para alugar em;24344-J-SP;1.260;0;;False;USED;;UNIT;0;False;893815426;True;Rio de Janeiro;APPROXIMATE;False;;Alugar;BR;STREET;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;/imovel/aluguel-casa-2-quartos-com-varanda-gourmet-heliopolis-belford-roxo-rj-80m2-id-2634218331/;GRUPOZAP;2634218331;RENTAL;STREET;Belford Roxo;VALID_STREET;mês;;1.260;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
premium;André L. Silva;150;;Casa em Ponta Negra - Maricá;Aluga-se casa no bairro Cordeirinho (Ponta Negra) com 150 metros quadrados com 2 quartos sendo 1 suite , 1 banheiro social, sala grande, varanda, garagem e área de serviço. Ligue e marque uma visita. Alugue sem burogracia pela Credpago e pague somente 8% do valor total do aluguel mensais a seguradora.;2023-03-30T20:51:26.915Z;2023-05-23T17:21:07.431Z;;2;24921324;Avenida Reginaldo Zeidan;Cordeirinho;8618;1;1;2;;;;PREMIUM;HOME;;RESIDENTIAL;PETS_ALLOWED|AIR_CONDITIONING;-22.956934;RENTAL;Bairros;False;Casa para alugar em;;1.600;0;-42.775331;False;USED;GOOGLE;UNIT;0;False;1PG702S;True;Rio de Janeiro;GEOMETRIC_CENTER;False;;Alugar;BR;STREET;2b99cca9-ee3b-e69e-b6cf-648c96ae190c;/imovel/aluguel-casa-2-quartos-cordeirinho-marica-rj-150m2-id-2621811717/;GRUPOZAP;2621811717;RENTAL;ALL;Maricá;VALID_STREET;mês;;1.600;casas;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
