type;account.name;listing.usableAreas;listing.totalAreas;listing.title;listing.description;listing.createdAt;listing.updatedAt;listing.floors;listing.parkingSpaces;listing.address.zipCode;listing.address.street;listing.address.neighborhood;listing.address.streetNumber;listing.suites;listing.bathrooms;listing.bedrooms;listing.pricingInfo.salePrice;listing.pricingInfo.yearlyIptu;listing.pricingInfo.monthlyCondoFee;listing.publicationType;listing.unitTypes;listing.unitSubTypes;listing.usageTypes;listing.amenities;listing.address.point.lat;listing.pricingInfo.businessType;listing.address.zone;listing.acceptExchange;listing.subtitle;account.licenseNumber;listing.pricingInfo.price;listing.unitFloor;listing.address.point.lon;listing.preview;listing.listingType;listing.address.point.source;listing.propertyType;listing.unitsOnTheFloor;listing.isInactive;listing.externalId;listing.pricingInfo.isRent;listing.address.state;listing.address.precision;listing.pricingInfo.isSale;listing.legacyId;listing.pricingInfo.businessLabel;listing.address.country;listing.address.level;listing.advertiserId;listing.link;listing.portal;listing.id;listing.businessTypeContext;listing.displayAddressType;listing.address.city;listing.address.confidence;listing.pricingInfo.period;listing.pricingInfo.rentalTotalPrice;listing.pricingInfo.rentalPrice;imvl_type;listing.pool;listing.sauna;listing.backyard;listing.garden;listing.barbgrill;listing.partyhall;listing.tenniscourt;listing.sportcourt;listing.bathtub;listing.soundproofing;listing.fireplace;listing.gym;listing.hottub;listing.furnished;listing.guestpark;listing.playground;listing.mountainview
superPremium;EXPANSÃO RIO IMÓVEIS;290;290;Cobertura com 2 dormitórios para alugar, 290 m² por 18.193,14/mês - Flamengo - Rio de Janeiro/RJ;Magnifica Cobertura em um dos Bairros mais luxuosos do Rio de Janeiro no Flamengo, Vista Mar ,Composta por 2 ótimas Salas enormes e requintadas , Bar moderníssimo ,2 belas Suítes modernas com armários box em blindex ,pastilhas modernas e iluminação de alto padrão , 1 Mega Closet , banheiro social ,Lavabo ,cozinha com armários ,área de serviço ,dependência de empregada e 3 vagas de garagem .Parte Superior da Cobertura com espaço para festas ,Piscina ,Sauna ,Terraço livre com Vista deslumbrante para o Morro da Viúva .<br>Agende sua visita com um de nossos Corretores e assista nosso Vídeo no link do Anuncio . -;2023-04-19T11:07:16.365Z;2023-05-02T11:15:20.835Z;;3;22250020;Avenida Rui Barbosa;Flamengo;16;2;4;2;;1.360;1.833;SUPER_PREMIUM;PENTHOUSE;;RESIDENTIAL;AIR_CONDITIONING|BARBECUE_GRILL|KITCHEN|ELEVATOR|GOURMET_BALCONY|INTERCOM|FURNISHED|POOL|BALCONY|CABLE_TV|SERVICE_AREA;-22.938739;RENTAL;Zona Sul;False;Cobertura para alugar em;8032-J-RJ;15.000;0;-43.17289;False;USED;GOOGLE;UNIT;0;False;CO0125;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;a201b395-fa8a-5332-d495-a427f0477bf4;/imovel/aluguel-cobertura-2-quartos-mobiliado-flamengo-zona-sul-rio-de-janeiro-rj-290m2-id-2627165980/;GRUPOZAP;2627165980;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;16.833;15.000;cobertura;True;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False
superPremium;QuintoAndar Aluguel;154;154;Apartamento para Aluguel - Freguesia , 2 Quartos, 154 m2;Apartamento para Aluguel - Freguesia , 2 Quartos, 154 m2. Sobre o imóvel: <br><br>Valores:<br>- Aluguel: 8550<br>- Condomínio: 1043<br>- IPTU: 309<br><br>Que tal agendar uma visita?<br>Entre em contato pelo formulário. Você receberá uma mensagem por e-mail e WhatsApp com os próximos passos.<br><br>Seu imóvel sem burocracia<br>O QuintoAndar revolucionou o jeito de alugar e comprar imóveis: rápido, fácil, online, sem fiador e o melhor, sem burocracia. Conheça esse e outros imóveis no site do QuintoAndar. CRECI-RJ J7575;2022-04-26T05:45:17.128Z;2023-05-05T13:58:42.622Z;;2;22745004;Estrada dos Três Rios;Freguesia;;2;4;2;;309;1.043;SUPER_PREMIUM;PENTHOUSE;;RESIDENTIAL;GYM|AIR_CONDITIONING|GOURMET_SPACE|BARBECUE_GRILL|GARAGE|FURNISHED|POOL|PLAYGROUND|SPORTS_COURT|PARTY_HALL|GOURMET_BALCONY|SAUNA;;RENTAL;Bairros;False;Cobertura para alugar em;24344-J-SP;8.550;0;;False;USED;;UNIT;0;False;893393319;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;/imovel/aluguel-cobertura-2-quartos-mobiliado-freguesia-rio-de-janeiro-rj-154m2-id-2560147237/;GRUPOZAP;2560147237;RENTAL;STREET;Rio de Janeiro;VALID_STREET;mês;9.593;8.550;cobertura;True;True;False;False;True;True;False;True;False;False;False;True;False;True;False;True;False
superPremium;REVOLUTIONS IMÓVEIS;200;200;Recreio dos Bandeirantes | Cobertura 2 quartos, sendo 2 suites;"Cobertura no Recreio dos Bandeirantes, gleba ""A"", linear. 2 quartos sendo 1 suíte com porta para terraço, sala em dois ambientes. Cozinha com armários, banheiro de serviço. Amplos terraços frente e fundos com área de serviço. Com excelente iluminação e ventilação natural. Próximo a escolas, shopping e vasto comércio. <br>Agende agora sua visita!!! Avaliamos o seu imóvel!! Visite nosso site!!!! e8f9e";2023-04-13T23:57:22.266Z;2023-05-17T11:09:21.682Z;;2;22790170;Rua Coronel João Olintho;Recreio Dos Bandeirantes;467;2;6;2;;5.770;895;SUPER_PREMIUM;PENTHOUSE;;RESIDENTIAL;PAVED_STREET|BALCONY|SAFETY_CIRCUIT|LARGE_WINDOW|NEAR_SHOPPING_CENTER_2|NEAR_PUBLIC_TRANSPORT|NEAR_SCHOOL|DEPOSIT|ELEVATOR|GARAGE|NEAR_ACCESS_ROADS|SERVICE_AREA|WATCHMAN|PETS_ALLOWED;-23.013144;RENTAL;Zona Oeste;False;Cobertura para alugar em;007172-J-RJ;3.000;0;-43.456617;False;USED;GOOGLE;UNIT;0;False;RCB0895;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;f65d5f4b-48f0-93d5-f73c-b3f27204f4d5;/imovel/aluguel-cobertura-2-quartos-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-200m2-id-2626048668/;GRUPOZAP;2626048668;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;3.895;3.000;cobertura;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;VINO VIANA;90;;Cobertura na Riviera c/ 2qts, send 1suíte, 2brs, 1vg, amrs plnjds, vrnd, churrqr - NÃO TEM ELEVADOR!;Código do anúncio: 3349<br><br>- NÃO TEM ELEVADOR!!<br>- FICA ATRÁS DO SESI!!<br>- Fica no 4°andar!!<br><br>- Oportunidade cobertura localizada no bairro Riviera Fluminense - Macaé - Rj<br><br>- Salão integrado ao deck / gourmet, 2 quartos com armarias no banheiro, sendo 1 suíte, com armários banheiro, copa/cozinha, área de serviço, garagem.;2023-05-09T18:01:08.057Z;2023-05-11T13:18:29.937Z;;1;27937210;;Riviera Fluminense;;1;2;2;;434;207;STANDARD;APARTMENT;PENTHOUSE;RESIDENTIAL;GATED_COMMUNITY|GOURMET_BALCONY;;RENTAL;Bairros;False;Cobertura para alugar em;063309-F-RJ;1.700;0;;False;USED;;UNIT;0;False;3349;True;Rio de Janeiro;GEOMETRIC_CENTER;False;;Alugar;BR;STREET;8bd585d2-5b8c-c0c2-d4b1-d0bcfedf7689;/imovel/aluguel-cobertura-2-quartos-riviera-fluminense-macae-rj-90m2-id-2631205771/;GRUPOZAP;2631205771;RENTAL;NEIGHBORHOOD;Macaé;VALID_STREET;mês;1.907;1.700;cobertura;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;CÉSAR;70;;Cobertura na Riviera c/ 2qts, send 1suíte, 2brs, 1vg, amrs plnjds, vrnd, churrqr,;Código do anúncio: 3349<br><br>- NÃO TEM ELEVADOR!!<br>- Fica no 4°andar!!<br><br>- Oportunidade cobertura localizada no bairro Riviera Fluminense - Macaé - Rj<br><br>- Salão integrado ao deck / gourmet, 2 quartos com armarias no banheiro, sendo 1 suíte, com armários banheiro, copa/cozinha, área de serviço, garagem.;2023-05-11T13:49:50.863Z;2023-05-11T13:49:59.107Z;;2;27937210;;Riviera Fluminense;;1;2;2;;434;207;STANDARD;APARTMENT;PENTHOUSE;RESIDENTIAL;;;RENTAL;Bairros;False;Cobertura para alugar em;;1.700;0;;False;USED;;UNIT;0;False;3349;True;Rio de Janeiro;GEOMETRIC_CENTER;False;;Alugar;BR;STREET;bee958ee-ac05-5662-dc4a-b5e6d31e6385;/imovel/aluguel-cobertura-2-quartos-riviera-fluminense-macae-rj-70m2-id-2631672809/;GRUPOZAP;2631672809;RENTAL;NEIGHBORHOOD;Macaé;VALID_STREET;mês;1.907;1.700;cobertura;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
premium;QuintoAndar Aluguel;121;121;Apartamento para Aluguel - Taquara, 2 Quartos, 121 m2;Apartamento para Aluguel - Taquara, 2 Quartos, 121 m2. Sobre o imóvel: Linda cobertura duplex de frente toda reformada. No andar de cima possui um quartinho além de piscina e churrasqueira. Vista ampla. Ficarão no imóvel algumas mobílias.<br><br>Valores:<br>- Aluguel: 2650<br>- Condomínio: 926<br>- IPTU: 195<br><br>Que tal agendar uma visita?<br>Entre em contato pelo formulário. Você receberá uma mensagem por e-mail e WhatsApp com os próximos passos.<br><br>Seu imóvel sem burocracia<br>O QuintoAndar revolucionou o jeito de alugar e comprar imóveis: rápido, fácil, online, sem fiador e o melhor, sem burocracia. Conheça esse e outros imóveis no site do QuintoAndar. CRECI-RJ J7575;2023-05-12T05:36:30.335Z;2023-05-12T05:36:34.109Z;;1;22730150;Rua Iriquitia;Taquara;;1;2;2;;195;926;PREMIUM;PENTHOUSE;;RESIDENTIAL;AIR_CONDITIONING|BARBECUE_GRILL|GARAGE|PLAYGROUND|PARTY_HALL|GOURMET_BALCONY|PETS_ALLOWED;;RENTAL;Zona Oeste;False;Cobertura para alugar em;24344-J-SP;2.650;0;;False;USED;;UNIT;0;False;894065043;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;/imovel/aluguel-cobertura-2-quartos-com-churrasqueira-taquara-zona-oeste-rio-de-janeiro-rj-121m2-id-2631838163/;GRUPOZAP;2631838163;RENTAL;STREET;Rio de Janeiro;VALID_STREET;mês;3.576;2.650;cobertura;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;True;False
premium;QuintoAndar Aluguel;132;132;Apartamento para Aluguel - Meier, 2 Quartos, 132 m2;Apartamento para Aluguel - Meier, 2 Quartos, 132 m2. Sobre o imóvel: Excelente cobertura duplex com vista livre e indevassavel composta por 2 quartos, banheiro, sala com varanda espaçosa e cozinha planejada. Todos os armários planejados do quarto, banheiro, sala e cozinha ficam no imóvel. Segundo andar com escritório planejado, terraço com chuveirão, área gourmet com churrasqueira e forno de pizza a lenha, banheiro e espaço de depósito. Terraço possui tela de proteção ao redor.<br><br>Valores:<br>- Aluguel: 2500<br>- Condomínio: 1120<br>- IPTU: 163<br><br>Que tal agendar uma visita?<br>Entre em contato pelo formulário. Você receberá uma mensagem por e-mail e WhatsApp com os próximos passos.<br><br>Seu imóvel sem burocracia<br>O QuintoAndar revolucionou o jeito de alugar e comprar imóveis: rápido, fácil, online, sem fiador e o melhor, sem burocracia. Conheça esse e outros imóveis no site do QuintoAndar. CRECI-RJ J7575;2023-05-15T08:27:19.441Z;2023-05-15T08:30:11.635Z;;1;20720280;Rua C;Méier;;0;2;2;;163;1.120;PREMIUM;PENTHOUSE;;RESIDENTIAL;GOURMET_SPACE|BARBECUE_GRILL|GARAGE|FURNISHED|POOL|PLAYGROUND|PARTY_HALL|GOURMET_BALCONY|PETS_ALLOWED;;RENTAL;Zona Norte;False;Cobertura para alugar em;24344-J-SP;2.500;0;;False;USED;;UNIT;0;False;893521480;True;Rio de Janeiro;RANGE_INTERPOLATED;False;;Alugar;BR;STREET;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;/imovel/aluguel-cobertura-2-quartos-mobiliado-meier-zona-norte-rio-de-janeiro-rj-132m2-id-2632394457/;GRUPOZAP;2632394457;RENTAL;STREET;Rio de Janeiro;VALID_STREET;mês;3.620;2.500;cobertura;True;False;False;False;True;True;False;False;False;False;False;False;False;True;False;True;False
;RUTNETE THIMOTEO PEREIRA;109;109;Cobertura para aluguel tem 109 metros quadrados com 2 quartos;A cobertura está localizado no bairro Vila Valqueire possui 109 metros quadrados com 2 quartos sendo 1 suite e 4 banheiros<br>Possui jardim, parquinho com diferentes brinquedos, salão de festas.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina.Espaço reservado para preparar o seu churrasco.<br>Elevador que garante o transporte das suas malas e compras.;2023-05-10T18:55:41.725Z;2023-05-10T18:57:12.769Z;;2;21330150;Rua das Azaléas; Vila Valqueire;570;1;4;2;;1.115;860;STANDARD;APARTMENT;PENTHOUSE;RESIDENTIAL;RECEPTION|SAFETY_CIRCUIT|ADULT_POOL|CHILDRENS_POOL|BARBECUE_GRILL|GARDEN|PLAYGROUND|PARTY_HALL|DISABLED_ACCESS|BICYCLES_PLACE|ELEVATOR|POOL|ELECTRONIC_GATE|CONCIERGE_24H|PETS_ALLOWED|AMERICAN_KITCHEN|GOURMET_BALCONY;-22.882534;RENTAL;Zona Norte;False;Cobertura para alugar em;056326-F-RJ;2.700;0;-43.36686;False;USED;GOOGLE;UNIT;0;False;PA845;True;Rio de Janeiro;RANGE_INTERPOLATED;False;;Alugar;BR;STREET;7dbf80c2-6c5e-5ea2-5e9c-b6bf3aefec46;/imovel/aluguel-cobertura-2-quartos-com-piscina-vila-valqueire-zona-norte-rio-de-janeiro-rj-109m2-id-2631453889/;GRUPOZAP;2631453889;RENTAL;ALL;Rio de Janeiro;VALID_STREET;mês;3.560;2.700;cobertura;True;False;False;True;True;True;False;False;False;False;False;False;False;False;False;True;False
premium;Paulo Baião;200;;Apartamento para aluguel possui 200 metros quadrados com 2 quartos;Apartamento Cobertura com linda vista da Lagoa de São Pedro.<br>Edifício com ótima localização, ponto de ônibus em frente, restaurante e padaria bem próximo.<br>Bela cobertura com bela vista <br>Toda coberta e com teto retrátil.<br>Locação direta com proprietário.;2023-05-04T00:55:35.271Z;2023-05-05T07:42:43.143Z;2;;28948834;Rodovia Amaral Peixoto;Balneario São Pedro;106;;2;2;;;;PREMIUM;APARTMENT;PENTHOUSE;RESIDENTIAL;PETS_ALLOWED;-22.836616;RENTAL;Bairros;False;Cobertura para alugar em;;1.300;2;-42.130096;False;USED;GOOGLE;UNIT;3;False;TFJQ4SGY;True;Rio de Janeiro;APPROXIMATE;False;;Alugar;BR;STREET;a9512c2b-3a1c-9bc9-2d14-1d9eee3744bc;/imovel/aluguel-cobertura-2-quartos-balneario-sao-pedro-sao-pedro-da-aldeia-rj-200m2-id-2630029290/;GRUPOZAP;2630029290;RENTAL;ALL;São Pedro da Aldeia;VALID_STREET;mês;;1.300;cobertura;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
;QuintoAndar Aluguel;125;125;Apartamento para Aluguel - Trindade, 2 Quartos, 125 m2;Apartamento para Aluguel - Trindade, 2 Quartos, 125 m2. Sobre o imóvel: Portão de varam com controle, Portão social com tag, câmeras, elevador, carrinho de compras com cartão individual por Apto, área comum com churrasqueira. Apartamento novo com cobertura, armário modulado de cozinha, pia do banheiro embutida, blindex no box e na cozinha. <br><br>Valores:<br>- Aluguel: 1850<br>- Condomínio: 250<br>- IPTU: 0<br><br>Que tal agendar uma visita?<br>Entre em contato pelo formulário. Você receberá uma mensagem por e-mail e WhatsApp com os próximos passos.<br><br>Seu imóvel sem burocracia<br>O QuintoAndar revolucionou o jeito de alugar e comprar imóveis: rápido, fácil, online, sem fiador e o melhor, sem burocracia. Conheça esse e outros imóveis no site do QuintoAndar. CRECI-RJ J7575;2023-05-12T05:36:51.398Z;2023-05-12T05:36:59.300Z;;1;24456595;Rua Itaocara;Trindade;;0;2;2;;;250;STANDARD;PENTHOUSE;;RESIDENTIAL;GARAGE|PETS_ALLOWED;;RENTAL;Bairros;False;Cobertura para alugar em;24344-J-SP;1.850;0;;False;USED;;UNIT;0;False;894061633;True;Rio de Janeiro;ROOFTOP;False;;Alugar;BR;STREET;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;/imovel/aluguel-cobertura-2-quartos-trindade-sao-goncalo-rj-125m2-id-2631833614/;GRUPOZAP;2631833614;RENTAL;STREET;São Gonçalo;VALID_STREET;mês;2.100;1.850;cobertura;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
